"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ATCC_51524","KPL3033","KPL3043","KPL3050","KPL3052","KPL3065","KPL3069","KPL3070","KPL3077","KPL3084","KPL3086","KPL3090","KPL3246","KPL3250","KPL3256","KPL3264","KPL3274","KPL3911","KPL1914","KPL1934_CDC4709_98","KPL1939_CDC4792_99","KPL1938_CDC4791_99","KPL1937_CDC4199_99","KPL1933_CDC4545_98","KPL1932_CDC4420_98","KPL1931_CDC4294_98","KPL1930_CDC2949_98","KPL1922_CDC39_95"
"GC_00000495","persistent","Uncharacterized conserved protein YutD, DUF1027 family (YutD) (PDB:2KL5)","28","28","1.0","NA","NA","","","","413","467","465.07","ATCC_51524_CDS_1414","KPL3033_CDS_1395","KPL3043_CDS_1319","KPL3050_CDS_1407","KPL3052_CDS_1392","KPL3065_CDS_1299","KPL3069_CDS_1470","KPL3070_CDS_1311","KPL3077_CDS_0787","KPL3084_CDS_1335","KPL3086_CDS_1312","KPL3090_CDS_1429","KPL3246_CDS_1309","KPL3250_CDS_1303","KPL3256_CDS_0914","KPL3264_CDS_1665","KPL3274_CDS_1268","KPL3911_CDS_1360","KPL1914_CDS_0732","KPL1934_CDC4709_98_CDS_1696","KPL1939_CDC4792_99_CDS_1602","KPL1938_CDC4791_99_CDS_1545","KPL1937_CDC4199_99_CDS_0518","KPL1933_CDC4545_98_CDS_0221","KPL1932_CDC4420_98_CDS_0420","KPL1931_CDC4294_98_CDS_0746","KPL1930_CDC2949_98_CDS_0290","KPL1922_CDC39_95_CDS_1583"
"GC_00000496","persistent","Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB (PulE) (PDB:4KSR)","28","28","1.0","NA","NA","","","","1064","1064","1064.0","ATCC_51524_CDS_0923","KPL3033_CDS_0982","KPL3043_CDS_1002","KPL3050_CDS_1110","KPL3052_CDS_1106","KPL3065_CDS_0988","KPL3069_CDS_1093","KPL3070_CDS_1027","KPL3077_CDS_0486","KPL3084_CDS_1045","KPL3086_CDS_1001","KPL3090_CDS_1121","KPL3246_CDS_1021","KPL3250_CDS_1005","KPL3256_CDS_0614","KPL3264_CDS_0230","KPL3274_CDS_0980","KPL3911_CDS_1070","KPL1914_CDS_1051","KPL1934_CDC4709_98_CDS_1410","KPL1939_CDC4792_99_CDS_0960","KPL1938_CDC4791_99_CDS_0072","KPL1937_CDC4199_99_CDS_0172","KPL1933_CDC4545_98_CDS_0419","KPL1932_CDC4420_98_CDS_0801","KPL1931_CDC4294_98_CDS_0513","KPL1930_CDC2949_98_CDS_0187","KPL1922_CDC39_95_CDS_0147"
"GC_00000497","persistent","Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)","28","28","1.0","NA","NA","","","","962","1058","1054.57","ATCC_51524_CDS_0676","KPL3033_CDS_1341","KPL3043_CDS_1250","KPL3050_CDS_1357","KPL3052_CDS_1339","KPL3065_CDS_1235","KPL3069_CDS_1340","KPL3070_CDS_1257","KPL3077_CDS_0735","KPL3084_CDS_1281","KPL3086_CDS_1248","KPL3090_CDS_1373","KPL3246_CDS_1258","KPL3250_CDS_1256","KPL3256_CDS_0857","KPL3264_CDS_1722","KPL3274_CDS_1221","KPL3911_CDS_1307","KPL1914_CDS_0785","KPL1934_CDC4709_98_CDS_1637","KPL1939_CDC4792_99_CDS_0090","KPL1938_CDC4791_99_CDS_0880","KPL1937_CDC4199_99_CDS_1345","KPL1933_CDC4545_98_CDS_1693","KPL1932_CDC4420_98_CDS_0708","KPL1931_CDC4294_98_CDS_1617","KPL1930_CDC2949_98_CDS_0982","KPL1922_CDC39_95_CDS_0305"
"GC_00000498","persistent","","28","28","1.0","NA","NA","","","","548","557","548.32","ATCC_51524_CDS_1370","KPL3033_CDS_0541","KPL3043_CDS_0558","KPL3050_CDS_0651","KPL3052_CDS_0645","KPL3065_CDS_0544","KPL3069_CDS_0651","KPL3070_CDS_0585","KPL3077_CDS_0018","KPL3084_CDS_0595","KPL3086_CDS_0543","KPL3090_CDS_0665","KPL3246_CDS_0573","KPL3250_CDS_0545","KPL3256_CDS_0200","KPL3264_CDS_0681","KPL3274_CDS_0565","KPL3911_CDS_0603","KPL1914_CDS_1519","KPL1934_CDC4709_98_CDS_0966","KPL1939_CDC4792_99_CDS_0178","KPL1938_CDC4791_99_CDS_0984","KPL1937_CDC4199_99_CDS_1644","KPL1933_CDC4545_98_CDS_1367","KPL1932_CDC4420_98_CDS_1284","KPL1931_CDC4294_98_CDS_1789","KPL1930_CDC2949_98_CDS_1571","KPL1922_CDC39_95_CDS_0750"
"GC_00000499","persistent","Cell division protein FtsL (FtsL2)","28","28","1.0","NA","NA","","","","338","398","395.86","ATCC_51524_CDS_0741","KPL3033_CDS_1225","KPL3043_CDS_1178","KPL3050_CDS_1290","KPL3052_CDS_1281","KPL3065_CDS_1162","KPL3069_CDS_1272","KPL3070_CDS_1192","KPL3077_CDS_0665","KPL3084_CDS_1216","KPL3086_CDS_1174","KPL3090_CDS_1306","KPL3246_CDS_1196","KPL3250_CDS_1187","KPL3256_CDS_0793","KPL3264_CDS_0031","KPL3274_CDS_1156","KPL3911_CDS_1241","KPL1914_CDS_0850","KPL1934_CDC4709_98_CDS_1577","KPL1939_CDC4792_99_CDS_0033","KPL1938_CDC4791_99_CDS_0815","KPL1937_CDC4199_99_CDS_1459","KPL1933_CDC4545_98_CDS_1637","KPL1932_CDC4420_98_CDS_0637","KPL1931_CDC4294_98_CDS_0294","KPL1930_CDC2949_98_CDS_1038","KPL1922_CDC39_95_CDS_0370"
"GC_00000500","persistent","mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N)","28","28","1.0","NA","NA","","","","1682","1682","1682.0","ATCC_51524_CDS_1240","KPL3033_CDS_0678","KPL3043_CDS_0690","KPL3050_CDS_0782","KPL3052_CDS_0776","KPL3065_CDS_0676","KPL3069_CDS_0783","KPL3070_CDS_0714","KPL3077_CDS_0144","KPL3084_CDS_0724","KPL3086_CDS_0676","KPL3090_CDS_0798","KPL3246_CDS_0710","KPL3250_CDS_0680","KPL3256_CDS_0320","KPL3264_CDS_0549","KPL3274_CDS_0686","KPL3911_CDS_0743","KPL1914_CDS_1375","KPL1934_CDC4709_98_CDS_1090","KPL1939_CDC4792_99_CDS_1277","KPL1938_CDC4791_99_CDS_0196","KPL1937_CDC4199_99_CDS_0013","KPL1933_CDC4545_98_CDS_1248","KPL1932_CDC4420_98_CDS_0354","KPL1931_CDC4294_98_CDS_0644","KPL1930_CDC2949_98_CDS_1447","KPL1922_CDC39_95_CDS_1404"
"GC_00000501","persistent","Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific (PtsG1)","28","28","1.0","NA","NA","","","","1367","1367","1367.0","ATCC_51524_CDS_0861","KPL3033_CDS_1036","KPL3043_CDS_1059","KPL3050_CDS_1157","KPL3052_CDS_1159","KPL3065_CDS_1036","KPL3069_CDS_1145","KPL3070_CDS_1072","KPL3077_CDS_0540","KPL3084_CDS_1095","KPL3086_CDS_1050","KPL3090_CDS_1172","KPL3246_CDS_1067","KPL3250_CDS_1053","KPL3256_CDS_0659","KPL3264_CDS_0169","KPL3274_CDS_1028","KPL3911_CDS_1113","KPL1914_CDS_0970","KPL1934_CDC4709_98_CDS_1455","KPL1939_CDC4792_99_CDS_0377","KPL1938_CDC4791_99_CDS_0695","KPL1937_CDC4199_99_CDS_0480","KPL1933_CDC4545_98_CDS_1517","KPL1932_CDC4420_98_CDS_0517","KPL1931_CDC4294_98_CDS_0422","KPL1930_CDC2949_98_CDS_1159","KPL1922_CDC39_95_CDS_0491"
"GC_00000502","persistent","IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)","28","28","1.0","NA","NA","","","","959","1034","1031.32","ATCC_51524_CDS_0031","KPL3033_CDS_0495","KPL3043_CDS_0514","KPL3050_CDS_0598","KPL3052_CDS_0595","KPL3065_CDS_0500","KPL3069_CDS_0600","KPL3070_CDS_0541","KPL3077_CDS_1806","KPL3084_CDS_0547","KPL3086_CDS_0499","KPL3090_CDS_0615","KPL3246_CDS_0526","KPL3250_CDS_0495","KPL3256_CDS_0151","KPL3264_CDS_0732","KPL3274_CDS_0514","KPL3911_CDS_0552","KPL1914_CDS_1571","KPL1934_CDC4709_98_CDS_0921","KPL1939_CDC4792_99_CDS_0910","KPL1938_CDC4791_99_CDS_0939","KPL1937_CDC4199_99_CDS_0301","KPL1933_CDC4545_98_CDS_1416","KPL1932_CDC4420_98_CDS_1239","KPL1931_CDC4294_98_CDS_1883","KPL1930_CDC2949_98_CDS_1616","KPL1922_CDC39_95_CDS_1194"
"GC_00000503","persistent","Glutaredoxin (GrxC) (PDB:1AAZ)","28","28","1.0","NA","NA","","","","221","221","221.0","ATCC_51524_CDS_0566","KPL3033_CDS_1767","KPL3043_CDS_1673","KPL3050_CDS_1797","KPL3052_CDS_1780","KPL3065_CDS_1653","KPL3069_CDS_1828","KPL3070_CDS_1697","KPL3077_CDS_1163","KPL3084_CDS_1717","KPL3086_CDS_1665","KPL3090_CDS_1851","KPL3246_CDS_1687","KPL3250_CDS_1668","KPL3256_CDS_1286","KPL3264_CDS_1285","KPL3274_CDS_1640","KPL3911_CDS_1732","KPL1914_CDS_0365","KPL1934_CDC4709_98_CDS_0322","KPL1939_CDC4792_99_CDS_1628","KPL1938_CDC4791_99_CDS_0435","KPL1937_CDC4199_99_CDS_1335","KPL1933_CDC4545_98_CDS_1509","KPL1932_CDC4420_98_CDS_0923","KPL1931_CDC4294_98_CDS_1412","KPL1930_CDC2949_98_CDS_0567","KPL1922_CDC39_95_CDS_0672"
"GC_00000504","persistent","Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507","28","28","1.0","NA","NA","","","","323","326","325.14","ATCC_51524_CDS_1653","KPL3033_CDS_1637","KPL3043_CDS_1563","KPL3050_CDS_1666","KPL3052_CDS_1650","KPL3065_CDS_1542","KPL3069_CDS_1721","KPL3070_CDS_1585","KPL3077_CDS_1029","KPL3084_CDS_1604","KPL3086_CDS_1556","KPL3090_CDS_1743","KPL3246_CDS_1562","KPL3250_CDS_1538","KPL3256_CDS_1166","KPL3264_CDS_1411","KPL3274_CDS_1521","KPL3911_CDS_1619","KPL1914_CDS_0494","KPL1934_CDC4709_98_CDS_0208","KPL1939_CDC4792_99_CDS_1369","KPL1938_CDC4791_99_CDS_1100","KPL1937_CDC4199_99_CDS_0376","KPL1933_CDC4545_98_CDS_0287","KPL1932_CDC4420_98_CDS_0483","KPL1931_CDC4294_98_CDS_0163","KPL1930_CDC2949_98_CDS_0238","KPL1922_CDC39_95_CDS_0887"
"GC_00000505","persistent","ABC-type Mn2+/Zn2+ transport system, ATPase component (ZnuC)","28","28","1.0","NA","NA","","","","707","707","707.0","ATCC_51524_CDS_0135","KPL3033_CDS_0380","KPL3043_CDS_0396","KPL3050_CDS_0401","KPL3052_CDS_0385","KPL3065_CDS_0385","KPL3069_CDS_0393","KPL3070_CDS_0403","KPL3077_CDS_1599","KPL3084_CDS_0408","KPL3086_CDS_0383","KPL3090_CDS_0493","KPL3246_CDS_0398","KPL3250_CDS_0378","KPL3256_CDS_1729","KPL3264_CDS_0851","KPL3274_CDS_0394","KPL3911_CDS_0410","KPL1914_CDS_1688","KPL1934_CDC4709_98_CDS_0751","KPL1939_CDC4792_99_CDS_0563","KPL1938_CDC4791_99_CDS_1219","KPL1937_CDC4199_99_CDS_0739","KPL1933_CDC4545_98_CDS_0697","KPL1932_CDC4420_98_CDS_1736","KPL1931_CDC4294_98_CDS_1300","KPL1930_CDC2949_98_CDS_0912","KPL1922_CDC39_95_CDS_1675"
"GC_00000506","persistent","Xanthine/uracil permease (UraA) (PDB:3QE7)","28","28","1.0","NA","NA","","","","1289","1295","1294.79","ATCC_51524_CDS_0620","KPL3033_CDS_1711","KPL3043_CDS_1617","KPL3050_CDS_1736","KPL3052_CDS_1721","KPL3065_CDS_1596","KPL3069_CDS_1775","KPL3070_CDS_1644","KPL3077_CDS_1106","KPL3084_CDS_1665","KPL3086_CDS_1609","KPL3090_CDS_1794","KPL3246_CDS_1633","KPL3250_CDS_1611","KPL3256_CDS_1219","KPL3264_CDS_1343","KPL3274_CDS_1589","KPL3911_CDS_1680","KPL1914_CDS_0419","KPL1934_CDC4709_98_CDS_0265","KPL1939_CDC4792_99_CDS_1699","KPL1938_CDC4791_99_CDS_0496","KPL1937_CDC4199_99_CDS_1279","KPL1933_CDC4545_98_CDS_1455","KPL1932_CDC4420_98_CDS_0980","KPL1931_CDC4294_98_CDS_1358","KPL1930_CDC2949_98_CDS_0588","KPL1922_CDC39_95_CDS_0616"
"GC_00000507","persistent","Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)","28","28","1.0","NA","NA","","","","380","380","380.0","ATCC_51524_CDS_0040","KPL3033_CDS_0484","KPL3043_CDS_0504","KPL3050_CDS_0588","KPL3052_CDS_0584","KPL3065_CDS_0490","KPL3069_CDS_0586","KPL3070_CDS_0531","KPL3077_CDS_1794","KPL3084_CDS_0537","KPL3086_CDS_0489","KPL3090_CDS_0601","KPL3246_CDS_0516","KPL3250_CDS_0485","KPL3256_CDS_0141","KPL3264_CDS_0743","KPL3274_CDS_0498","KPL3911_CDS_0541","KPL1914_CDS_1582","KPL1934_CDC4709_98_CDS_0911","KPL1939_CDC4792_99_CDS_0245","KPL1938_CDC4791_99_CDS_0928","KPL1937_CDC4199_99_CDS_0405","KPL1933_CDC4545_98_CDS_0319","KPL1932_CDC4420_98_CDS_1228","KPL1931_CDC4294_98_CDS_1872","KPL1930_CDC2949_98_CDS_1626","KPL1922_CDC39_95_CDS_1203"
"GC_00000508","persistent","ABC-type methionine transport system, ATPase component (AbcC) (PDB:6CVL)","28","28","1.0","NA","NA","","","","734","734","734.0","ATCC_51524_CDS_0471","KPL3033_CDS_0053","KPL3043_CDS_0061","KPL3050_CDS_0052","KPL3052_CDS_0053","KPL3065_CDS_0061","KPL3069_CDS_0054","KPL3070_CDS_0060","KPL3077_CDS_1255","KPL3084_CDS_0060","KPL3086_CDS_0061","KPL3090_CDS_0068","KPL3246_CDS_0060","KPL3250_CDS_0052","KPL3256_CDS_1391","KPL3264_CDS_1200","KPL3274_CDS_0052","KPL3911_CDS_0061","KPL1914_CDS_0279","KPL1934_CDC4709_98_CDS_0424","KPL1939_CDC4792_99_CDS_0701","KPL1938_CDC4791_99_CDS_1404","KPL1937_CDC4199_99_CDS_1097","KPL1933_CDC4545_98_CDS_1047","KPL1932_CDC4420_98_CDS_1557","KPL1931_CDC4294_98_CDS_0823","KPL1930_CDC2949_98_CDS_0439","KPL1922_CDC39_95_CDS_0018"
"GC_00000509","persistent","Large-conductance mechanosensitive channel (MscL) (PDB:2OAR)","28","28","1.0","NA","NA","","","","443","443","443.0","ATCC_51524_CDS_0453","KPL3033_CDS_0071","KPL3043_CDS_0079","KPL3050_CDS_0070","KPL3052_CDS_0071","KPL3065_CDS_0079","KPL3069_CDS_0072","KPL3070_CDS_0078","KPL3077_CDS_1273","KPL3084_CDS_0078","KPL3086_CDS_0079","KPL3090_CDS_0171","KPL3246_CDS_0078","KPL3250_CDS_0070","KPL3256_CDS_1409","KPL3264_CDS_1182","KPL3274_CDS_0070","KPL3911_CDS_0079","KPL1914_CDS_0259","KPL1934_CDC4709_98_CDS_0442","KPL1939_CDC4792_99_CDS_0719","KPL1938_CDC4791_99_CDS_1384","KPL1937_CDC4199_99_CDS_1079","KPL1933_CDC4545_98_CDS_1029","KPL1932_CDC4420_98_CDS_1577","KPL1931_CDC4294_98_CDS_0805","KPL1930_CDC2949_98_CDS_0457","KPL1922_CDC39_95_CDS_0038"
"GC_00000510","persistent","DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains (RpiR) (PDB:2O3F)","28","28","1.0","NA","NA","","","","842","842","842.0","ATCC_51524_CDS_0645","KPL3033_CDS_1685","KPL3043_CDS_1590","KPL3050_CDS_1710","KPL3052_CDS_1695","KPL3065_CDS_1570","KPL3069_CDS_1748","KPL3070_CDS_1619","KPL3077_CDS_1081","KPL3084_CDS_1639","KPL3086_CDS_1583","KPL3090_CDS_1771","KPL3246_CDS_1607","KPL3250_CDS_1585","KPL3256_CDS_1193","KPL3264_CDS_1365","KPL3274_CDS_1564","KPL3911_CDS_1653","KPL1914_CDS_0443","KPL1934_CDC4709_98_CDS_0244","KPL1939_CDC4792_99_CDS_1724","KPL1938_CDC4791_99_CDS_0517","KPL1937_CDC4199_99_CDS_1257","KPL1933_CDC4545_98_CDS_1436","KPL1932_CDC4420_98_CDS_1001","KPL1931_CDC4294_98_CDS_1443","KPL1930_CDC2949_98_CDS_0050","KPL1922_CDC39_95_CDS_0257"
"GC_00000511","persistent","Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)","28","28","1.0","NA","NA","","","","1352","1352","1352.0","ATCC_51524_CDS_1390","KPL3033_CDS_1365","KPL3043_CDS_1285","KPL3050_CDS_1383","KPL3052_CDS_1362","KPL3065_CDS_1264","KPL3069_CDS_1437","KPL3070_CDS_1278","KPL3077_CDS_0756","KPL3084_CDS_1302","KPL3086_CDS_1277","KPL3090_CDS_1398","KPL3246_CDS_1285","KPL3250_CDS_1279","KPL3256_CDS_0882","KPL3264_CDS_1698","KPL3274_CDS_1244","KPL3911_CDS_1328","KPL1914_CDS_0762","KPL1934_CDC4709_98_CDS_1659","KPL1939_CDC4792_99_CDS_1626","KPL1938_CDC4791_99_CDS_1516","KPL1937_CDC4199_99_CDS_0494","KPL1933_CDC4545_98_CDS_0251","KPL1932_CDC4420_98_CDS_0452","KPL1931_CDC4294_98_CDS_0776","KPL1930_CDC2949_98_CDS_0260","KPL1922_CDC39_95_CDS_1613"
"GC_00000512","persistent","","28","28","1.0","NA","NA","","","","515","515","515.0","ATCC_51524_CDS_1631","KPL3033_CDS_1616","KPL3043_CDS_1540","KPL3050_CDS_1644","KPL3052_CDS_1628","KPL3065_CDS_1520","KPL3069_CDS_1699","KPL3070_CDS_1563","KPL3077_CDS_1011","KPL3084_CDS_1582","KPL3086_CDS_1533","KPL3090_CDS_1723","KPL3246_CDS_1540","KPL3250_CDS_1516","KPL3256_CDS_1146","KPL3264_CDS_1433","KPL3274_CDS_1500","KPL3911_CDS_1597","KPL1914_CDS_0516","KPL1934_CDC4709_98_CDS_0187","KPL1939_CDC4792_99_CDS_1391","KPL1938_CDC4791_99_CDS_1078","KPL1937_CDC4199_99_CDS_0397","KPL1933_CDC4545_98_CDS_0309","KPL1932_CDC4420_98_CDS_0461","KPL1931_CDC4294_98_CDS_0142","KPL1930_CDC2949_98_CDS_0581","KPL1922_CDC39_95_CDS_0865"
"GC_00000513","persistent","","28","28","1.0","NA","NA","","","","1058","1058","1058.0","ATCC_51524_CDS_0565","KPL3033_CDS_1768","KPL3043_CDS_1674","KPL3050_CDS_1798","KPL3052_CDS_1781","KPL3065_CDS_1654","KPL3069_CDS_1829","KPL3070_CDS_1700","KPL3077_CDS_1164","KPL3084_CDS_1720","KPL3086_CDS_1666","KPL3090_CDS_1852","KPL3246_CDS_1688","KPL3250_CDS_1671","KPL3256_CDS_1287","KPL3264_CDS_1284","KPL3274_CDS_1641","KPL3911_CDS_1735","KPL1914_CDS_0364","KPL1934_CDC4709_98_CDS_0323","KPL1939_CDC4792_99_CDS_0603","KPL1938_CDC4791_99_CDS_1607","KPL1937_CDC4199_99_CDS_1473","KPL1933_CDC4545_98_CDS_1156","KPL1932_CDC4420_98_CDS_1461","KPL1931_CDC4294_98_CDS_0875","KPL1930_CDC2949_98_CDS_0651","KPL1922_CDC39_95_CDS_0993"
"GC_00000514","persistent","Sensor histidine kinase WalK (WalK) (PDB:4I5S)","28","28","1.0","NA","NA","","","","1871","1871","1871.0","ATCC_51524_CDS_0500","KPL3033_CDS_0025","KPL3043_CDS_0031","KPL3050_CDS_0025","KPL3052_CDS_0025","KPL3065_CDS_0031","KPL3069_CDS_0026","KPL3070_CDS_0032","KPL3077_CDS_1227","KPL3084_CDS_0032","KPL3086_CDS_0031","KPL3090_CDS_0033","KPL3246_CDS_0030","KPL3250_CDS_0025","KPL3256_CDS_1362","KPL3264_CDS_1227","KPL3274_CDS_0025","KPL3911_CDS_0033","KPL1914_CDS_0309","KPL1934_CDC4709_98_CDS_0391","KPL1939_CDC4792_99_CDS_0673","KPL1938_CDC4791_99_CDS_1674","KPL1937_CDC4199_99_CDS_1127","KPL1933_CDC4545_98_CDS_1093","KPL1932_CDC4420_98_CDS_1528","KPL1931_CDC4294_98_CDS_1677","KPL1930_CDC2949_98_CDS_0400","KPL1922_CDC39_95_CDS_0930"
"GC_00000515","persistent","","28","28","1.0","NA","NA","","","","746","746","746.0","ATCC_51524_CDS_1389","KPL3033_CDS_1364","KPL3043_CDS_1284","KPL3050_CDS_1382","KPL3052_CDS_1361","KPL3065_CDS_1263","KPL3069_CDS_1436","KPL3070_CDS_1277","KPL3077_CDS_0755","KPL3084_CDS_1301","KPL3086_CDS_1276","KPL3090_CDS_1397","KPL3246_CDS_1284","KPL3250_CDS_1278","KPL3256_CDS_0881","KPL3264_CDS_1699","KPL3274_CDS_1243","KPL3911_CDS_1327","KPL1914_CDS_0763","KPL1934_CDC4709_98_CDS_1658","KPL1939_CDC4792_99_CDS_1627","KPL1938_CDC4791_99_CDS_1515","KPL1937_CDC4199_99_CDS_0493","KPL1933_CDC4545_98_CDS_0252","KPL1932_CDC4420_98_CDS_0453","KPL1931_CDC4294_98_CDS_0777","KPL1930_CDC2949_98_CDS_0259","KPL1922_CDC39_95_CDS_1614"
"GC_00000516","persistent","Uncharacterized conserved protein YnzC, UPF0291/DUF896 family (YnzC) (PDB:2HEP)","28","28","1.0","NA","NA","","","","272","272","272.0","ATCC_51524_CDS_0794","KPL3033_CDS_1164","KPL3043_CDS_1126","KPL3050_CDS_1226","KPL3052_CDS_1226","KPL3065_CDS_1106","KPL3069_CDS_1211","KPL3070_CDS_1139","KPL3077_CDS_0612","KPL3084_CDS_1163","KPL3086_CDS_1120","KPL3090_CDS_1249","KPL3246_CDS_1134","KPL3250_CDS_1124","KPL3256_CDS_0729","KPL3264_CDS_0094","KPL3274_CDS_1095","KPL3911_CDS_1186","KPL1914_CDS_0903","KPL1934_CDC4709_98_CDS_1522","KPL1939_CDC4792_99_CDS_0296","KPL1938_CDC4791_99_CDS_0762","KPL1937_CDC4199_99_CDS_1791","KPL1933_CDC4545_98_CDS_1584","KPL1932_CDC4420_98_CDS_0584","KPL1931_CDC4294_98_CDS_0355","KPL1930_CDC2949_98_CDS_1091","KPL1922_CDC39_95_CDS_0424"
"GC_00000517","persistent","","28","28","1.0","NA","NA","","","","185","185","185.0","ATCC_51524_CDS_0178","KPL3033_CDS_0339","KPL3043_CDS_0356","KPL3050_CDS_0360","KPL3052_CDS_0343","KPL3065_CDS_0343","KPL3069_CDS_0351","KPL3070_CDS_0359","KPL3077_CDS_1558","KPL3084_CDS_0365","KPL3086_CDS_0341","KPL3090_CDS_0451","KPL3246_CDS_0357","KPL3250_CDS_0335","KPL3256_CDS_1689","KPL3264_CDS_0895","KPL3274_CDS_0350","KPL3911_CDS_0366","KPL1914_CDS_1730","KPL1934_CDC4709_98_CDS_0708","KPL1939_CDC4792_99_CDS_0521","KPL1938_CDC4791_99_CDS_1261","KPL1937_CDC4199_99_CDS_0779","KPL1933_CDC4545_98_CDS_0740","KPL1932_CDC4420_98_CDS_1694","KPL1931_CDC4294_98_CDS_1259","KPL1930_CDC2949_98_CDS_1660","KPL1922_CDC39_95_CDS_1633"
"GC_00000518","persistent","Fe2+ or Zn2+ uptake regulation protein Fur/Zur (Fur) (PDB:1MZB)","28","28","1.0","NA","NA","","","","425","425","425.0","ATCC_51524_CDS_0843","KPL3033_CDS_1116","KPL3043_CDS_1077","KPL3050_CDS_1177","KPL3052_CDS_1177","KPL3065_CDS_1057","KPL3069_CDS_1163","KPL3070_CDS_1090","KPL3077_CDS_0560","KPL3084_CDS_1113","KPL3086_CDS_1071","KPL3090_CDS_1198","KPL3246_CDS_1085","KPL3250_CDS_1074","KPL3256_CDS_0680","KPL3264_CDS_0145","KPL3274_CDS_1046","KPL3911_CDS_1136","KPL1914_CDS_0952","KPL1934_CDC4709_98_CDS_1473","KPL1939_CDC4792_99_CDS_0357","KPL1938_CDC4791_99_CDS_0713","KPL1937_CDC4199_99_CDS_1742","KPL1933_CDC4545_98_CDS_1535","KPL1932_CDC4420_98_CDS_0535","KPL1931_CDC4294_98_CDS_0404","KPL1930_CDC2949_98_CDS_1140","KPL1922_CDC39_95_CDS_0473"
"GC_00000519","persistent","YycI protein, regulator of the WalKR two-component signal transduction system (YycI) (PDB:2O3O)","28","28","1.0","NA","NA","","","","620","863","854.32","ATCC_51524_CDS_0498","KPL3033_CDS_0027","KPL3043_CDS_0033","KPL3050_CDS_0027","KPL3052_CDS_0027","KPL3065_CDS_0033","KPL3069_CDS_0028","KPL3070_CDS_0034","KPL3077_CDS_1229","KPL3084_CDS_0034","KPL3086_CDS_0033","KPL3090_CDS_0035","KPL3246_CDS_0032","KPL3250_CDS_0027","KPL3256_CDS_1364","KPL3264_CDS_1225","KPL3274_CDS_0027","KPL3911_CDS_0035","KPL1914_CDS_0307","KPL1934_CDC4709_98_CDS_0393","KPL1939_CDC4792_99_CDS_0675","KPL1938_CDC4791_99_CDS_1676","KPL1937_CDC4199_99_CDS_1125","KPL1933_CDC4545_98_CDS_1091","KPL1932_CDC4420_98_CDS_1530","KPL1931_CDC4294_98_CDS_1679","KPL1930_CDC2949_98_CDS_0402","KPL1922_CDC39_95_CDS_0928"
"GC_00000520","persistent","Beta-galactosidase, beta subunit (EbgC) (PDB:1JOP)","28","28","1.0","NA","NA","","","","440","440","440.0","ATCC_51524_CDS_0644","KPL3033_CDS_1686","KPL3043_CDS_1591","KPL3050_CDS_1711","KPL3052_CDS_1696","KPL3065_CDS_1571","KPL3069_CDS_1749","KPL3070_CDS_1620","KPL3077_CDS_1082","KPL3084_CDS_1640","KPL3086_CDS_1584","KPL3090_CDS_1772","KPL3246_CDS_1608","KPL3250_CDS_1586","KPL3256_CDS_1194","KPL3264_CDS_1364","KPL3274_CDS_1565","KPL3911_CDS_1654","KPL1914_CDS_0442","KPL1934_CDC4709_98_CDS_0245","KPL1939_CDC4792_99_CDS_1723","KPL1938_CDC4791_99_CDS_0516","KPL1937_CDC4199_99_CDS_1258","KPL1933_CDC4545_98_CDS_1437","KPL1932_CDC4420_98_CDS_1000","KPL1931_CDC4294_98_CDS_1442","KPL1930_CDC2949_98_CDS_0049","KPL1922_CDC39_95_CDS_0258"
