Id,Label,Interval,nb_genes,name,product,type,partition,sub partition,partition_exact,partition_soft,length_avg,length_med,nb_organisms,Genome1,Genome2,Genome3,Genome4,Genome5,Genome6,Genome7,Genome8,Genome9,Genome10,Genome11,Genome12,Genome13,Genome14,Genome15,Genome16,Genome17,Genome18,Genome19,Genome20,Genome21,Genome22,Genome23,Genome24,Genome25,Genome26,Genome27,Genome28
99,GC_00000100,,29,COG0503,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7),CDS,persistent,P,exact_core,soft_core,558.86,581,28,ATCC_51524___1591,KPL3033___1568,KPL3043___1494,KPL3050___1588,KPL3052___1572,KPL3065___1466,KPL3069___1651,KPL3070___1502|KPL3070___1503,KPL3077___964,KPL3084___1523,KPL3086___1479,KPL3090___1674,KPL3246___1483,KPL3250___1474,KPL3256___1099,KPL3264___1491,KPL3274___1446,KPL3911___1542,KPL1914___564,KPL1934_CDC4709_98___131,KPL1939_CDC4792_99___1431,KPL1938_CDC4791_99___643,KPL1937_CDC4199_99___692,KPL1933_CDC4545_98___42,KPL1932_CDC4420_98___899,KPL1931_CDC4294_98___89,KPL1930_CDC2949_98___108,KPL1922_CDC39_95___817
100,GC_00000101,,29,COG0469,Pyruvate kinase (PykF) (PDB:6QXL),CDS,persistent,P,exact_core,soft_core,1373.52,1427,28,ATCC_51524___763,KPL3033___1205,KPL3043___1158,KPL3050___1268,KPL3052___1259,KPL3065___1140,KPL3069___1252,KPL3070___1172,KPL3077___645,KPL3084___1196,KPL3086___1153,KPL3090___1284,KPL3246___1176,KPL3250___1165,KPL3256___771,KPL3264___54|KPL3264___53,KPL3274___1136,KPL3911___1221,KPL1914___872,KPL1934_CDC4709_98___1555,KPL1939_CDC4792_99___257,KPL1938_CDC4791_99___795,KPL1937_CDC4199_99___334,KPL1933_CDC4545_98___1617,KPL1932_CDC4420_98___617,KPL1931_CDC4294_98___316,KPL1930_CDC2949_98___1060,KPL1922_CDC39_95___392
101,GC_00000102,,29,COG1249,Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG),CDS,persistent,P,exact_core,soft_core,1362.66,1412,28,ATCC_51524___718,KPL3033___1305,KPL3043___1209,KPL3050___1319,KPL3052___1308|KPL3052___1307,KPL3065___1193,KPL3069___1301,KPL3070___1221,KPL3077___694,KPL3084___1245,KPL3086___1205,KPL3090___1331,KPL3246___1225,KPL3250___1214,KPL3256___822,KPL3264___1762,KPL3274___1182,KPL3911___1271,KPL1914___823,KPL1934_CDC4709_98___1608,KPL1939_CDC4792_99___58,KPL1938_CDC4791_99___844,KPL1937_CDC4199_99___1378,KPL1933_CDC4545_98___1666,KPL1932_CDC4420_98___666,KPL1931_CDC4294_98___267,KPL1930_CDC2949_98___1015,KPL1922_CDC39_95___346
102,GC_00000103,,29,COG0850,Septum site-determining protein MinC (MinC) (PDB:1HF2),CDS,persistent,P,exact_core,soft_core,662.52,683,28,ATCC_51524___1457,KPL3033___1440,KPL3043___1363,KPL3050___1451,KPL3052___1436,KPL3065___1343,KPL3069___1515,KPL3070___1354,KPL3077___829,KPL3084___1379,KPL3086___1356,KPL3090___1471,KPL3246___1352,KPL3250___1347,KPL3256___958,KPL3264___1625,KPL3274___1312,KPL3911___1403,KPL1914___693,KPL1934_CDC4709_98___1|KPL1934_CDC4709_98___1740,KPL1939_CDC4792_99___1560,KPL1938_CDC4791_99___1590,KPL1937_CDC4199_99___560,KPL1933_CDC4545_98___178,KPL1932_CDC4420_98___377,KPL1931_CDC4294_98___707,KPL1930_CDC2949_98___334,KPL1922_CDC39_95___1542
103,GC_00000104,,29,,,CDS,persistent,P,exact_core,soft_core,230,230,28,ATCC_51524___1487,KPL3033___1470,KPL3043___1393,KPL3050___1481,KPL3052___1466,KPL3065___1373,KPL3069___1547,KPL3070___1386,KPL3077___855,KPL3084___1412,KPL3086___1386,KPL3090___1576,KPL3246___1379,KPL3250___1379,KPL3256___988,KPL3264___1595,KPL3274___1343,KPL3911___1431,KPL1914___667,KPL1934_CDC4709_98___1769|KPL1934_CDC4709_98___28,KPL1939_CDC4792_99___1530,KPL1938_CDC4791_99___537,KPL1937_CDC4199_99___590,KPL1933_CDC4545_98___147,KPL1932_CDC4420_98___17,KPL1931_CDC4294_98___1120,KPL1930_CDC2949_98___10,KPL1922_CDC39_95___1512
104,GC_00000105,,29,COG0572,Uridine kinase (Udk) (PDB:5B3F),CDS,persistent,P,exact_core,soft_core,626.31,626,28,ATCC_51524___1466,KPL3033___1449,KPL3043___1372,KPL3050___1460,KPL3052___1445,KPL3065___1352,KPL3069___1526,KPL3070___1365,KPL3077___838,KPL3084___1388,KPL3086___1365,KPL3090___1553,KPL3246___1361,KPL3250___1356,KPL3256___967,KPL3264___1616,KPL3274___1321,KPL3911___1412,KPL1914___684,KPL1934_CDC4709_98___11|KPL1934_CDC4709_98___1749,KPL1939_CDC4792_99___1551,KPL1938_CDC4791_99___1599,KPL1937_CDC4199_99___569,KPL1933_CDC4545_98___169,KPL1932_CDC4420_98___368,KPL1931_CDC4294_98___698,KPL1930_CDC2949_98___343,KPL1922_CDC39_95___1533
105,GC_00000106,,29,COG0719,Fe-S cluster assembly scaffold protein SufB (SufB) (PDB:1VH4),CDS,persistent,P,exact_core,soft_core,1394,1394,28,ATCC_51524___1480,KPL3033___1463,KPL3043___1386,KPL3050___1474,KPL3052___1459,KPL3065___1366,KPL3069___1540,KPL3070___1379,KPL3077___848,KPL3084___1405,KPL3086___1379,KPL3090___1569,KPL3246___1372,KPL3250___1372,KPL3256___981,KPL3264___1602,KPL3274___1336,KPL3911___1424,KPL1914___674,KPL1934_CDC4709_98___21|KPL1934_CDC4709_98___1760,KPL1939_CDC4792_99___1537,KPL1938_CDC4791_99___530,KPL1937_CDC4199_99___583,KPL1933_CDC4545_98___154,KPL1932_CDC4420_98___10,KPL1931_CDC4294_98___1127,KPL1930_CDC2949_98___3,KPL1922_CDC39_95___1519
106,GC_00000107,,29,COG0816,"YqgF/RuvX protein, pre-16S rRNA maturation RNase/Holliday junction resolvase/anti-termination factor (YqgF) (PDB:1IV0) (PUBMED:25545592",CDS,persistent,P,exact_core,soft_core,419,419,28,ATCC_51524___1469,KPL3033___1452,KPL3043___1375,KPL3050___1463,KPL3052___1448,KPL3065___1355,KPL3069___1529,KPL3070___1368,KPL3077___841,KPL3084___1391,KPL3086___1368,KPL3090___1556,KPL3246___1364,KPL3250___1359,KPL3256___970,KPL3264___1613,KPL3274___1324,KPL3911___1415,KPL1914___681,KPL1934_CDC4709_98___14|KPL1934_CDC4709_98___1752,KPL1939_CDC4792_99___1548,KPL1938_CDC4791_99___1602,KPL1937_CDC4199_99___572,KPL1933_CDC4545_98___166,KPL1932_CDC4420_98___365,KPL1931_CDC4294_98___695,KPL1930_CDC2949_98___346,KPL1922_CDC39_95___1530
107,GC_00000108,,29,COG0064,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M),CDS,persistent,P,exact_core,soft_core,1383.66,1433,28,ATCC_51524___882,KPL3033___1013,KPL3043___1030,KPL3050___1138,KPL3052___1139,KPL3065___1012,KPL3069___1120,KPL3070___1050,KPL3077___517,KPL3084___1070,KPL3086___1025,KPL3090___1153,KPL3246___1048,KPL3250___1029,KPL3256___639|KPL3256___640,KPL3264___195,KPL3274___1002,KPL3911___1094,KPL1914___1020,KPL1934_CDC4709_98___1435,KPL1939_CDC4792_99___935,KPL1938_CDC4791_99___1062,KPL1937_CDC4199_99___1716,KPL1933_CDC4545_98___406,KPL1932_CDC4420_98___827,KPL1931_CDC4294_98___1318,KPL1930_CDC2949_98___649,KPL1922_CDC39_95___123
108,GC_00000109,,29,COG3906,"Uncharacterized conserved protein YrzB, UPF0473 family (YrzB)",CDS,persistent,P,exact_core,soft_core,293.31,290,28,ATCC_51524___1468,KPL3033___1451,KPL3043___1374,KPL3050___1462,KPL3052___1447,KPL3065___1354,KPL3069___1528,KPL3070___1367,KPL3077___840,KPL3084___1390,KPL3086___1367,KPL3090___1555,KPL3246___1363,KPL3250___1358,KPL3256___969,KPL3264___1614,KPL3274___1323,KPL3911___1414,KPL1914___682,KPL1934_CDC4709_98___13|KPL1934_CDC4709_98___1751,KPL1939_CDC4792_99___1549,KPL1938_CDC4791_99___1601,KPL1937_CDC4199_99___571,KPL1933_CDC4545_98___167,KPL1932_CDC4420_98___366,KPL1931_CDC4294_98___696,KPL1930_CDC2949_98___345,KPL1922_CDC39_95___1531
109,GC_00000110,,29,COG0706,Membrane protein insertase Oxa1/YidC/SpoIIIJ (YidC) (PDB:3WO6),CDS,persistent,P,exact_core,soft_core,844.9,875,28,ATCC_51524___534,KPL3033___1799,KPL3043___1712,KPL3050___1838,KPL3052___1818,KPL3065___1692,KPL3069___1868,KPL3070___1735|KPL3070___1736,KPL3077___1200,KPL3084___1755,KPL3086___1704,KPL3090___1889,KPL3246___1718,KPL3250___1712,KPL3256___1330,KPL3264___1256,KPL3274___1682,KPL3911___1770,KPL1914___338,KPL1934_CDC4709_98___364,KPL1939_CDC4792_99___641,KPL1938_CDC4791_99___1642,KPL1937_CDC4199_99___1504,KPL1933_CDC4545_98___1127,KPL1932_CDC4420_98___1496,KPL1931_CDC4294_98___1650,KPL1930_CDC2949_98___368,KPL1922_CDC39_95___959
110,GC_00000111,,29,COG0436,Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R),CDS,persistent,P,exact_core,soft_core,1532.31,1589,28,ATCC_51524___1610,KPL3033___1595,KPL3043___1511,KPL3050___1607,KPL3052___1592,KPL3065___1491,KPL3069___1668,KPL3070___1533,KPL3077___990,KPL3084___1550,KPL3086___1504,KPL3090___1692,KPL3246___1502,KPL3250___1495,KPL3256___1116,KPL3264___1473,KPL3274___1470|KPL3274___1471,KPL3911___1568,KPL1914___539,KPL1934_CDC4709_98___146,KPL1939_CDC4792_99___1414,KPL1938_CDC4791_99___661,KPL1937_CDC4199_99___709,KPL1933_CDC4545_98___26,KPL1932_CDC4420_98___1452,KPL1931_CDC4294_98___113,KPL1930_CDC2949_98___718,KPL1922_CDC39_95___836
111,GC_00000112,,29,COG0597,Lipoprotein signal peptidase (LspA) (PDB:5DIR),CDS,persistent,P,exact_core,soft_core,450.97,467,28,ATCC_51524___1056,KPL3033___850,KPL3043___877,KPL3050___978,KPL3052___978,KPL3065___864,KPL3069___974|KPL3069___973,KPL3070___904,KPL3077___349,KPL3084___922,KPL3086___870,KPL3090___994,KPL3246___899,KPL3250___879,KPL3256___503,KPL3264___352,KPL3274___863,KPL3911___947,KPL1914___1196,KPL1934_CDC4709_98___1283,KPL1939_CDC4792_99___1084,KPL1938_CDC4791_99___383,KPL1937_CDC4199_99___1159,KPL1933_CDC4545_98___546,KPL1932_CDC4420_98___83,KPL1931_CDC4294_98___433,KPL1930_CDC2949_98___1269,KPL1922_CDC39_95___1232
112,GC_00000113,,29,COG3853,Uncharacterized conserved protein YaaN involved in tellurite resistance (YaaN),CDS,persistent,P,exact_core,soft_core,1127.41,1169,28,ATCC_51524___800,KPL3033___1160,KPL3043___1122,KPL3050___1222,KPL3052___1222,KPL3065___1102,KPL3069___1207,KPL3070___1135,KPL3077___608,KPL3084___1159,KPL3086___1116,KPL3090___1244|KPL3090___1245,KPL3246___1130,KPL3250___1120,KPL3256___725,KPL3264___100,KPL3274___1091,KPL3911___1182,KPL1914___909,KPL1934_CDC4709_98___1518,KPL1939_CDC4792_99___302,KPL1938_CDC4791_99___758,KPL1937_CDC4199_99___1787,KPL1933_CDC4545_98___1580,KPL1932_CDC4420_98___580,KPL1931_CDC4294_98___361,KPL1930_CDC2949_98___1097,KPL1922_CDC39_95___430
113,GC_00000114,,29,COG0362,6-phosphogluconate dehydrogenase (Gnd) (PDB:2ZYA) (PUBMED:25329577),CDS,persistent,P,exact_core,soft_core,1387.38,1439,28,ATCC_51524___941,KPL3033___966,KPL3043___986,KPL3050___1094,KPL3052___1090,KPL3065___972,KPL3069___1076|KPL3069___1075,KPL3070___1011,KPL3077___470,KPL3084___1029,KPL3086___985,KPL3090___1105,KPL3246___1005,KPL3250___989,KPL3256___598,KPL3264___248,KPL3274___964,KPL3911___1054,KPL1914___1069,KPL1934_CDC4709_98___1394,KPL1939_CDC4792_99___978,KPL1938_CDC4791_99___90,KPL1937_CDC4199_99___156,KPL1933_CDC4545_98___437,KPL1932_CDC4420_98___785,KPL1931_CDC4294_98___497,KPL1930_CDC2949_98___171,KPL1922_CDC39_95___165
114,GC_00000115,,29,COG1435,Thymidine kinase (Tdk) (PDB:1W4R),CDS,persistent,P,exact_core,soft_core,595.38,596,28,ATCC_51524___1525,KPL3033___1512,KPL3043___1432,KPL3050___1531,KPL3052___1513,KPL3065___1412,KPL3069___1585,KPL3070___1427,KPL3077___896,KPL3084___1453,KPL3086___1425,KPL3090___1615,KPL3246___1427,KPL3250___1419,KPL3256___1030,KPL3264___1549,KPL3274___1386,KPL3911___1472,KPL1914___628,KPL1934_CDC4709_98___75,KPL1939_CDC4792_99___1492,KPL1938_CDC4791_99___587,KPL1937_CDC4199_99___637,KPL1933_CDC4545_98___102,KPL1932_CDC4420_98___843,KPL1931_CDC4294_98___1083|KPL1931_CDC4294_98___996,KPL1930_CDC2949_98___1178,KPL1922_CDC39_95___1473
115,GC_00000116,,29,COG1559,"Endolytic transglycosylase MltG, terminates peptidoglycan polymerization (MltG) (PDB:2R1F) (PUBMED:26507882)",CDS,persistent,P,exact_core,soft_core,1091,1091,28,ATCC_51524___1467,KPL3033___1450,KPL3043___1373,KPL3050___1461,KPL3052___1446,KPL3065___1353,KPL3069___1527,KPL3070___1366,KPL3077___839,KPL3084___1389,KPL3086___1366,KPL3090___1554,KPL3246___1362,KPL3250___1357,KPL3256___968,KPL3264___1615,KPL3274___1322,KPL3911___1413,KPL1914___683,KPL1934_CDC4709_98___1750|KPL1934_CDC4709_98___12,KPL1939_CDC4792_99___1550,KPL1938_CDC4791_99___1600,KPL1937_CDC4199_99___570,KPL1933_CDC4545_98___168,KPL1932_CDC4420_98___367,KPL1931_CDC4294_98___697,KPL1930_CDC2949_98___344,KPL1922_CDC39_95___1532
116,GC_00000117,,29,COG0651,"Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit (HyfB) (PDB:6CFW)",CDS,persistent,P,exact_core,soft_core,1541.72,1598,28,ATCC_51524___843,KPL3033___1118,KPL3043___1079,KPL3050___1179,KPL3052___1179,KPL3065___1059,KPL3069___1165,KPL3070___1092,KPL3077___562,KPL3084___1115,KPL3086___1073,KPL3090___1200,KPL3246___1087,KPL3250___1076,KPL3256___682,KPL3264___145|KPL3264___144,KPL3274___1048,KPL3911___1138,KPL1914___952,KPL1934_CDC4709_98___1475,KPL1939_CDC4792_99___357,KPL1938_CDC4791_99___715,KPL1937_CDC4199_99___1744,KPL1933_CDC4545_98___1537,KPL1932_CDC4420_98___537,KPL1931_CDC4294_98___404,KPL1930_CDC2949_98___1140,KPL1922_CDC39_95___473
117,GC_00000118,,29,COG0208,"Ribonucleotide reductase beta subunit, ferritin-like domain (NrdB) (PDB:1AV8)",CDS,persistent,P,exact_core,soft_core,966.86,965,28,ATCC_51524___570,KPL3033___1765,KPL3043___1671,KPL3050___1795,KPL3052___1778,KPL3065___1651,KPL3069___1826,KPL3070___1695,KPL3077___1161,KPL3084___1715,KPL3086___1663,KPL3090___1849,KPL3246___1685,KPL3250___1666,KPL3256___1284,KPL3264___1289,KPL3274___1638,KPL3911___1730,KPL1914___369,KPL1934_CDC4709_98___320,KPL1939_CDC4792_99___1632,KPL1938_CDC4791_99___439,KPL1937_CDC4199_99___1333,KPL1933_CDC4545_98___1507,KPL1932_CDC4420_98___927,KPL1931_CDC4294_98___993|KPL1931_CDC4294_98___1410,KPL1930_CDC2949_98___565,KPL1922_CDC39_95___670
118,GC_00000119,,29,COG0693,"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889",CDS,persistent,P,exact_core,soft_core,545,545,28,ATCC_51524___1479,KPL3033___1462,KPL3043___1385,KPL3050___1473,KPL3052___1458,KPL3065___1365,KPL3069___1539,KPL3070___1378,KPL3077___847,KPL3084___1404,KPL3086___1378,KPL3090___1568,KPL3246___1371,KPL3250___1371,KPL3256___980,KPL3264___1603,KPL3274___1335,KPL3911___1423,KPL1914___675,KPL1934_CDC4709_98___20|KPL1934_CDC4709_98___1759,KPL1939_CDC4792_99___1538,KPL1938_CDC4791_99___529,KPL1937_CDC4199_99___582,KPL1933_CDC4545_98___155,KPL1932_CDC4420_98___9,KPL1931_CDC4294_98___1128,KPL1930_CDC2949_98___2,KPL1922_CDC39_95___1520
119,GC_00000120,,29,COG1624,"c-di-AMP synthetase, contains DisA_N domain (DisA) (PDB:2FB5)",CDS,persistent,P,exact_core,soft_core,813.03,842,28,ATCC_51524___1605,KPL3033___1591,KPL3043___1508,KPL3050___1602,KPL3052___1589,KPL3065___1487,KPL3069___1665,KPL3070___1528,KPL3077___985|KPL3077___986,KPL3084___1545,KPL3086___1500,KPL3090___1689,KPL3246___1497,KPL3250___1492,KPL3256___1113,KPL3264___1477,KPL3274___1464,KPL3911___1563,KPL1914___543,KPL1934_CDC4709_98___143,KPL1939_CDC4792_99___1417,KPL1938_CDC4791_99___657,KPL1937_CDC4199_99___706,KPL1933_CDC4545_98___29,KPL1932_CDC4420_98___1457,KPL1931_CDC4294_98___110,KPL1930_CDC2949_98___715,KPL1922_CDC39_95___831
120,GC_00000121,,29,COG2364,Uncharacterized membrane protein YczE (YczE),CDS,persistent,P,exact_core,soft_core,628.9,650,28,ATCC_51524___1526,KPL3033___1513,KPL3043___1433,KPL3050___1532,KPL3052___1514,KPL3065___1413,KPL3069___1586,KPL3070___1428,KPL3077___897,KPL3084___1454|KPL3084___1455,KPL3086___1426,KPL3090___1616,KPL3246___1428,KPL3250___1420,KPL3256___1031,KPL3264___1548,KPL3274___1387,KPL3911___1473,KPL1914___627,KPL1934_CDC4709_98___76,KPL1939_CDC4792_99___1491,KPL1938_CDC4791_99___588,KPL1937_CDC4199_99___638,KPL1933_CDC4545_98___101,KPL1932_CDC4420_98___844,KPL1931_CDC4294_98___1082,KPL1930_CDC2949_98___1177,KPL1922_CDC39_95___1472
121,GC_00000122,,29,COG1674,DNA segregation ATPase FtsK/SpoIIIE or related protein (FtsK) (PDB:2IUT),CDS,persistent,P,exact_core,soft_core,2210.93,2312,28,ATCC_51524___1092,KPL3033___814,KPL3043___841,KPL3050___942,KPL3052___938,KPL3065___828,KPL3069___936,KPL3070___868,KPL3077___303,KPL3084___886,KPL3086___829,KPL3090___953|KPL3090___952,KPL3246___863,KPL3250___831,KPL3256___467,KPL3264___392,KPL3274___826,KPL3911___910,KPL1914___1239,KPL1934_CDC4709_98___1247,KPL1939_CDC4792_99___1132,KPL1938_CDC4791_99___344,KPL1937_CDC4199_99___1199,KPL1933_CDC4545_98___594,KPL1932_CDC4420_98___123,KPL1931_CDC4294_98___569,KPL1930_CDC2949_98___1308,KPL1922_CDC39_95___1268
122,GC_00000123,,29,COG3341,"Ribonuclease HI-related protein, contains viroplasmin and RNaseH domains (Rnh1) (PDB:1QHK)",CDS,persistent,P,exact_core,soft_core,560.93,584,28,ATCC_51524___1423,KPL3033___1405,KPL3043___1330,KPL3050___1418,KPL3052___1401,KPL3065___1310,KPL3069___1482,KPL3070___1320,KPL3077___795,KPL3084___1345|KPL3084___1344,KPL3086___1323,KPL3090___1437,KPL3246___1319,KPL3250___1313,KPL3256___923,KPL3264___1659,KPL3274___1276,KPL3911___1369,KPL1914___726,KPL1934_CDC4709_98___1705,KPL1939_CDC4792_99___1595,KPL1938_CDC4791_99___1555,KPL1937_CDC4199_99___527,KPL1933_CDC4545_98___214,KPL1932_CDC4420_98___412,KPL1931_CDC4294_98___739,KPL1930_CDC2949_98___299,KPL1922_CDC39_95___1576
123,GC_00000124,,29,COG0747,"ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)",CDS,persistent,P,exact_core,soft_core,1521.24,1577,28,ATCC_51524___452,KPL3033___74,KPL3043___82,KPL3050___73,KPL3052___74,KPL3065___82,KPL3069___74,KPL3070___81,KPL3077___1276,KPL3084___81,KPL3086___82,KPL3090___174,KPL3246___82|KPL3246___81,KPL3250___73,KPL3256___1412,KPL3264___1181,KPL3274___73,KPL3911___82,KPL1914___258,KPL1934_CDC4709_98___445,KPL1939_CDC4792_99___722,KPL1938_CDC4791_99___1383,KPL1937_CDC4199_99___1078,KPL1933_CDC4545_98___1028,KPL1932_CDC4420_98___1580,KPL1931_CDC4294_98___804,KPL1930_CDC2949_98___460,KPL1922_CDC39_95___41
125,GC_00000126,,29,COG0187,"DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)",CDS,persistent,P,exact_core,soft_core,1872.86,1946,28,ATCC_51524___527,KPL3033___5,KPL3043___5,KPL3050___5,KPL3052___5,KPL3065___5,KPL3069___5,KPL3070___5,KPL3077___1207,KPL3084___5,KPL3086___5,KPL3090___5,KPL3246___5,KPL3250___5,KPL3256___1337,KPL3264___1249,KPL3274___5,KPL3911___5|KPL3911___6,KPL1914___331,KPL1934_CDC4709_98___371,KPL1939_CDC4792_99___648,KPL1938_CDC4791_99___1649,KPL1937_CDC4199_99___1510,KPL1933_CDC4545_98___1120,KPL1932_CDC4420_98___1503,KPL1931_CDC4294_98___1657,KPL1930_CDC2949_98___375,KPL1922_CDC39_95___952
126,GC_00000127,,29,COG1527,Archaeal/vacuolar-type H+-ATPase subunit C/Vma6 (NtpC) (PDB:1R5Z),CDS,persistent,P,exact_core,soft_core,962.31,998,28,ATCC_51524___1344,KPL3033___569,KPL3043___586,KPL3050___679,KPL3052___674|KPL3052___673,KPL3065___572,KPL3069___679,KPL3070___613,KPL3077___46,KPL3084___623,KPL3086___571,KPL3090___695,KPL3246___601,KPL3250___573,KPL3256___229,KPL3264___655,KPL3274___593,KPL3911___631,KPL1914___1493,KPL1934_CDC4709_98___994,KPL1939_CDC4792_99___152,KPL1938_CDC4791_99___1012,KPL1937_CDC4199_99___1618,KPL1933_CDC4545_98___1341,KPL1932_CDC4420_98___1312,KPL1931_CDC4294_98___1763,KPL1930_CDC2949_98___1545,KPL1922_CDC39_95___724
127,GC_00000128,,29,COG2239,Mg/Co/Ni transporter MgtE (contains CBS domain) (MgtE) (PDB:2YVX),CDS,persistent,P,exact_core,soft_core,1314.14,1361,28,ATCC_51524___820,KPL3033___1141,KPL3043___1102,KPL3050___1202,KPL3052___1202,KPL3065___1082,KPL3069___1188,KPL3070___1115,KPL3077___587,KPL3084___1138,KPL3086___1096,KPL3090___1223,KPL3246___1110,KPL3250___1099,KPL3256___705,KPL3264___121,KPL3274___1071,KPL3911___1161|KPL3911___1162,KPL1914___929,KPL1934_CDC4709_98___1498,KPL1939_CDC4792_99___334,KPL1938_CDC4791_99___738,KPL1937_CDC4199_99___1767,KPL1933_CDC4545_98___1560,KPL1932_CDC4420_98___560,KPL1931_CDC4294_98___381,KPL1930_CDC2949_98___1117,KPL1922_CDC39_95___450
128,GC_00000129,,29,COG0509,Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM),CDS,persistent,P,exact_core,soft_core,368,368,28,ATCC_51524___1485,KPL3033___1468,KPL3043___1391,KPL3050___1479,KPL3052___1464,KPL3065___1371,KPL3069___1545,KPL3070___1384,KPL3077___853,KPL3084___1410,KPL3086___1384,KPL3090___1574,KPL3246___1377,KPL3250___1377,KPL3256___986,KPL3264___1597,KPL3274___1341,KPL3911___1429,KPL1914___669,KPL1934_CDC4709_98___1765|KPL1934_CDC4709_98___26,KPL1939_CDC4792_99___1532,KPL1938_CDC4791_99___535,KPL1937_CDC4199_99___588,KPL1933_CDC4545_98___149,KPL1932_CDC4420_98___15,KPL1931_CDC4294_98___1122,KPL1930_CDC2949_98___8,KPL1922_CDC39_95___1514
130,GC_00000131,,29,COG2384,tRNA A22 N1-methylase (TrmK) (PDB:3KR9) (PUBMED:18420655),CDS,persistent,P,exact_core,soft_core,671.93,695,28,ATCC_51524___1063,KPL3033___843,KPL3043___870,KPL3050___971,KPL3052___967,KPL3065___857,KPL3069___966,KPL3070___897,KPL3077___333,KPL3084___915,KPL3086___862,KPL3090___983,KPL3246___892,KPL3250___872,KPL3256___496,KPL3264___359,KPL3274___855,KPL3911___940,KPL1914___1211,KPL1934_CDC4709_98___1276,KPL1939_CDC4792_99___1091,KPL1938_CDC4791_99___373,KPL1937_CDC4199_99___1170,KPL1933_CDC4545_98___553,KPL1932_CDC4420_98___94,KPL1931_CDC4294_98___599|KPL1931_CDC4294_98___598,KPL1930_CDC2949_98___1279,KPL1922_CDC39_95___1239
131,GC_00000132,,29,COG0561,Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases (Cof) (PDB:1YMQ),CDS,persistent,P,exact_core,soft_core,789.14,818,28,ATCC_51524___758,KPL3033___1210,KPL3043___1163,KPL3050___1273,KPL3052___1264,KPL3065___1145,KPL3069___1257,KPL3070___1177,KPL3077___650,KPL3084___1201,KPL3086___1158|KPL3086___1159,KPL3090___1289,KPL3246___1181,KPL3250___1170,KPL3256___776,KPL3264___48,KPL3274___1141,KPL3911___1226,KPL1914___867,KPL1934_CDC4709_98___1560,KPL1939_CDC4792_99___252,KPL1938_CDC4791_99___800,KPL1937_CDC4199_99___339,KPL1933_CDC4545_98___1622,KPL1932_CDC4420_98___622,KPL1931_CDC4294_98___311,KPL1930_CDC2949_98___1055,KPL1922_CDC39_95___387
132,GC_00000133,,29,,,CDS,persistent,P,exact_core,soft_core,698.93,725,28,ATCC_51524___245,KPL3033___273,KPL3043___289,KPL3050___294|KPL3050___293,KPL3052___271,KPL3065___276,KPL3069___281,KPL3070___291,KPL3077___1491,KPL3084___291,KPL3086___274,KPL3090___381,KPL3246___279,KPL3250___265,KPL3256___1617,KPL3264___971,KPL3274___284,KPL3911___293,KPL1914___40,KPL1934_CDC4709_98___642,KPL1939_CDC4792_99___455,KPL1938_CDC4791_99___1158,KPL1937_CDC4199_99___850,KPL1933_CDC4545_98___815,KPL1932_CDC4420_98___1127,KPL1931_CDC4294_98___1580,KPL1930_CDC2949_98___885,KPL1922_CDC39_95___1044
133,GC_00000134,,29,COG3845,"ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)",CDS,persistent,P,exact_core,soft_core,1511.1,1565,28,ATCC_51524___1090,KPL3033___816,KPL3043___843,KPL3050___944,KPL3052___940,KPL3065___830,KPL3069___938,KPL3070___870,KPL3077___305,KPL3084___888,KPL3086___831,KPL3090___956|KPL3090___955,KPL3246___865,KPL3250___833,KPL3256___469,KPL3264___390,KPL3274___828,KPL3911___912,KPL1914___1237,KPL1934_CDC4709_98___1249,KPL1939_CDC4792_99___1130,KPL1938_CDC4791_99___346,KPL1937_CDC4199_99___1197,KPL1933_CDC4545_98___592,KPL1932_CDC4420_98___121,KPL1931_CDC4294_98___571,KPL1930_CDC2949_98___1306,KPL1922_CDC39_95___1266
