#duplication_margin=0.05
persistent_family	duplication_ratio	mean_presence	is_single_copy_marker
GC_00000220	0.0	1.0	True
GC_00000221	0.0	1.0	True
GC_00000222	0.0	1.0	True
GC_00000223	0.0	1.0	True
GC_00000224	0.0	1.0	True
GC_00000225	0.0	1.0	True
GC_00000226	0.0	1.0	True
GC_00000227	0.0	1.0	True
GC_00000228	0.0	1.0	True
GC_00000229	0.0	1.0	True
GC_00000230	0.0	1.0	True
GC_00000231	0.0	1.0	True
GC_00000232	0.0	1.0	True
GC_00000233	0.0	1.0	True
GC_00000234	0.0	1.0	True
GC_00000235	0.0	1.0	True
GC_00000236	0.0	1.0	True
GC_00000237	0.0	1.0	True
GC_00000238	0.0	1.0	True
GC_00000239	0.0	1.0	True
GC_00000240	0.0	1.0	True
GC_00000241	0.0	1.0	True
GC_00000242	0.0	1.0	True
GC_00000243	0.0	1.0	True
GC_00000244	0.0	1.0	True
GC_00000245	0.0	1.0	True
GC_00000246	0.0	1.0	True
GC_00000247	0.0	1.0	True
GC_00000248	0.0	1.0	True
GC_00000249	0.0	1.0	True
GC_00000250	0.0	1.0	True
GC_00000251	0.0	1.0	True
GC_00000252	0.0	1.0	True
GC_00000253	0.0	1.0	True
GC_00000254	0.0	1.0	True
GC_00000255	0.0	1.0	True
GC_00000256	0.0	1.0	True
GC_00000257	0.0	1.0	True
GC_00000258	0.0	1.0	True
GC_00000259	0.0	1.0	True
GC_00000260	0.0	1.0	True
GC_00000261	0.0	1.0	True
GC_00000262	0.0	1.0	True
GC_00000263	0.0	1.0	True
GC_00000264	0.0	1.0	True
GC_00000265	0.0	1.0	True
GC_00000266	0.0	1.0	True
GC_00000267	0.0	1.0	True
GC_00000268	0.0	1.0	True
GC_00000269	0.0	1.0	True
GC_00000270	0.0	1.0	True
GC_00000271	0.0	1.0	True
GC_00000272	0.0	1.0	True
GC_00000273	0.0	1.0	True
GC_00000274	0.0	1.0	True
GC_00000275	0.0	1.0	True
GC_00000276	0.0	1.0	True
GC_00000277	0.0	1.0	True
GC_00000278	0.0	1.0	True
GC_00000279	0.0	1.0	True
GC_00000280	0.0	1.0	True
GC_00000281	0.0	1.0	True
GC_00000282	0.0	1.0	True
GC_00000283	0.0	1.0	True
GC_00000284	0.0	1.0	True
GC_00000285	0.0	1.0	True
GC_00000286	0.0	1.0	True
GC_00000287	0.0	1.0	True
GC_00000288	0.0	1.0	True
GC_00000289	0.0	1.0	True
GC_00000290	0.0	1.0	True
GC_00000291	0.0	1.0	True
GC_00000292	0.0	1.0	True
GC_00000293	0.0	1.0	True
GC_00000294	0.0	1.0	True
GC_00000295	0.0	1.0	True
GC_00000296	0.0	1.0	True
GC_00000297	0.0	1.0	True
GC_00000298	0.0	1.0	True
GC_00000299	0.0	1.0	True
GC_00000300	0.0	1.0	True
GC_00000301	0.0	1.0	True
GC_00000302	0.0	1.0	True
GC_00000303	0.0	1.0	True
GC_00000304	0.0	1.0	True
GC_00000305	0.0	1.0	True
GC_00000306	0.0	1.0	True
GC_00000307	0.0	1.0	True
GC_00000308	0.0	1.0	True
GC_00000309	0.0	1.0	True
GC_00000310	0.0	1.0	True
GC_00000311	0.0	1.0	True
GC_00000312	0.0	1.0	True
GC_00000313	0.0	1.0	True
GC_00000314	0.0	1.0	True
GC_00000315	0.0	1.0	True
GC_00000316	0.0	1.0	True
GC_00000317	0.0	1.0	True
GC_00000318	0.0	1.0	True
GC_00000319	0.0	1.0	True
GC_00000320	0.0	1.0	True
GC_00000321	0.0	1.0	True
GC_00000322	0.0	1.0	True
GC_00000323	0.0	1.0	True
GC_00000324	0.0	1.0	True
GC_00000325	0.0	1.0	True
GC_00000326	0.0	1.0	True
GC_00000327	0.0	1.0	True
GC_00000328	0.0	1.0	True
GC_00000329	0.0	1.0	True
GC_00000330	0.0	1.0	True
GC_00000331	0.0	1.0	True
GC_00000332	0.0	1.0	True
GC_00000333	0.0	1.0	True
GC_00000334	0.0	1.0	True
GC_00000335	0.0	1.0	True
GC_00000336	0.0	1.0	True
GC_00000337	0.0	1.0	True
GC_00000338	0.0	1.0	True
GC_00000339	0.0	1.0	True
GC_00000340	0.0	1.0	True
GC_00000341	0.0	1.0	True
GC_00000342	0.0	1.0	True
GC_00000343	0.0	1.0	True
GC_00000344	0.0	1.0	True
GC_00000345	0.0	1.0	True
GC_00000346	0.0	1.0	True
GC_00000347	0.0	1.0	True
GC_00000348	0.0	1.0	True
GC_00000349	0.0	1.0	True
GC_00000350	0.0	1.0	True
GC_00000351	0.0	1.0	True
GC_00000352	0.0	1.0	True
GC_00000353	0.0	1.0	True
GC_00000354	0.0	1.0	True
GC_00000355	0.0	1.0	True
GC_00000356	0.0	1.0	True
GC_00000357	0.0	1.0	True
GC_00000358	0.0	1.0	True
GC_00000359	0.0	1.0	True
GC_00000360	0.0	1.0	True
GC_00000361	0.0	1.0	True
GC_00000362	0.0	1.0	True
GC_00000363	0.0	1.0	True
GC_00000364	0.0	1.0	True
GC_00000365	0.0	1.0	True
GC_00000366	0.0	1.0	True
GC_00000367	0.0	1.0	True
GC_00000368	0.0	1.0	True
GC_00000369	0.0	1.0	True
GC_00000370	0.0	1.0	True
GC_00000371	0.0	1.0	True
GC_00000372	0.0	1.0	True
GC_00000373	0.0	1.0	True
GC_00000374	0.0	1.0	True
GC_00000375	0.0	1.0	True
GC_00000376	0.0	1.0	True
GC_00000377	0.0	1.0	True
GC_00000378	0.0	1.0	True
GC_00000379	0.0	1.0	True
GC_00000380	0.0	1.0	True
GC_00000381	0.0	1.0	True
GC_00000382	0.0	1.0	True
GC_00000383	0.0	1.0	True
GC_00000384	0.0	1.0	True
GC_00000385	0.0	1.0	True
GC_00000386	0.0	1.0	True
GC_00000387	0.0	1.0	True
GC_00000388	0.0	1.0	True
GC_00000389	0.0	1.0	True
GC_00000390	0.0	1.0	True
GC_00000391	0.0	1.0	True
GC_00000392	0.0	1.0	True
GC_00000393	0.0	1.0	True
GC_00000394	0.0	1.0	True
GC_00000395	0.0	1.0	True
GC_00000396	0.0	1.0	True
GC_00000397	0.0	1.0	True
GC_00000398	0.0	1.0	True
GC_00000399	0.0	1.0	True
GC_00000400	0.0	1.0	True
GC_00000401	0.0	1.0	True
GC_00000402	0.0	1.0	True
GC_00000403	0.0	1.0	True
GC_00000404	0.0	1.0	True
GC_00000405	0.0	1.0	True
GC_00000406	0.0	1.0	True
GC_00000407	0.0	1.0	True
GC_00000408	0.0	1.0	True
GC_00000409	0.0	1.0	True
GC_00000410	0.0	1.0	True
GC_00000411	0.0	1.0	True
GC_00000412	0.0	1.0	True
GC_00000413	0.0	1.0	True
GC_00000414	0.0	1.0	True
GC_00000415	0.0	1.0	True
GC_00000416	0.0	1.0	True
GC_00000417	0.0	1.0	True
GC_00000418	0.0	1.0	True
GC_00000419	0.0	1.0	True
GC_00000420	0.0	1.0	True
GC_00000421	0.0	1.0	True
GC_00000422	0.0	1.0	True
GC_00000423	0.0	1.0	True
GC_00000424	0.0	1.0	True
GC_00000425	0.0	1.0	True
GC_00000426	0.0	1.0	True
GC_00000427	0.0	1.0	True
GC_00000428	0.0	1.0	True
GC_00000429	0.0	1.0	True
GC_00000430	0.0	1.0	True
GC_00000431	0.0	1.0	True
GC_00000432	0.0	1.0	True
GC_00000433	0.0	1.0	True
GC_00000434	0.0	1.0	True
GC_00000435	0.0	1.0	True
GC_00000436	0.0	1.0	True
GC_00000437	0.0	1.0	True
GC_00000438	0.0	1.0	True
GC_00000439	0.0	1.0	True
GC_00000440	0.0	1.0	True
GC_00000441	0.0	1.0	True
GC_00000442	0.0	1.0	True
GC_00000443	0.0	1.0	True
GC_00000444	0.0	1.0	True
GC_00000445	0.0	1.0	True
GC_00000446	0.0	1.0	True
GC_00000447	0.0	1.0	True
GC_00000448	0.0	1.0	True
GC_00000449	0.0	1.0	True
GC_00000450	0.0	1.0	True
GC_00000451	0.0	1.0	True
GC_00000452	0.0	1.0	True
GC_00000453	0.0	1.0	True
GC_00000454	0.0	1.0	True
GC_00000455	0.0	1.0	True
GC_00000456	0.0	1.0	True
GC_00000457	0.0	1.0	True
GC_00000458	0.0	1.0	True
GC_00000459	0.0	1.0	True
GC_00000460	0.0	1.0	True
GC_00000461	0.0	1.0	True
GC_00000462	0.0	1.0	True
GC_00000463	0.0	1.0	True
GC_00000464	0.0	1.0	True
GC_00000465	0.0	1.0	True
GC_00000466	0.0	1.0	True
GC_00000467	0.0	1.0	True
GC_00000468	0.0	1.0	True
GC_00000469	0.0	1.0	True
GC_00000470	0.0	1.0	True
GC_00000471	0.0	1.0	True
GC_00000472	0.0	1.0	True
GC_00000473	0.0	1.0	True
GC_00000474	0.0	1.0	True
GC_00000475	0.0	1.0	True
GC_00000476	0.0	1.0	True
GC_00000477	0.0	1.0	True
GC_00000478	0.0	1.0	True
GC_00000479	0.0	1.0	True
GC_00000480	0.0	1.0	True
GC_00000481	0.0	1.0	True
GC_00000482	0.0	1.0	True
GC_00000483	0.0	1.0	True
GC_00000484	0.0	1.0	True
GC_00000485	0.0	1.0	True
GC_00000486	0.0	1.0	True
GC_00000487	0.0	1.0	True
GC_00000488	0.0	1.0	True
GC_00000489	0.0	1.0	True
GC_00000490	0.0	1.0	True
GC_00000491	0.0	1.0	True
GC_00000492	0.0	1.0	True
GC_00000493	0.0	1.0	True
GC_00000494	0.0	1.0	True
GC_00000495	0.0	1.0	True
GC_00000496	0.0	1.0	True
GC_00000497	0.0	1.0	True
GC_00000498	0.0	1.0	True
GC_00000499	0.0	1.0	True
GC_00000500	0.0	1.0	True
GC_00000501	0.0	1.0	True
GC_00000502	0.0	1.0	True
GC_00000503	0.0	1.0	True
GC_00000504	0.0	1.0	True
GC_00000505	0.0	1.0	True
GC_00000506	0.0	1.0	True
GC_00000507	0.0	1.0	True
GC_00000508	0.0	1.0	True
GC_00000509	0.0	1.0	True
GC_00000510	0.0	1.0	True
GC_00000511	0.0	1.0	True
GC_00000512	0.0	1.0	True
GC_00000513	0.0	1.0	True
GC_00000514	0.0	1.0	True
GC_00000515	0.0	1.0	True
GC_00000516	0.0	1.0	True
GC_00000517	0.0	1.0	True
GC_00000518	0.0	1.0	True
GC_00000519	0.0	1.0	True
GC_00000520	0.0	1.0	True
GC_00000521	0.0	1.0	True
GC_00000522	0.0	1.0	True
GC_00000523	0.0	1.0	True
GC_00000524	0.0	1.0	True
GC_00000525	0.0	1.0	True
GC_00000526	0.0	1.0	True
GC_00000527	0.0	1.0	True
GC_00000528	0.0	1.0	True
GC_00000529	0.0	1.0	True
GC_00000530	0.0	1.0	True
GC_00000531	0.0	1.0	True
GC_00000532	0.0	1.0	True
GC_00000533	0.0	1.0	True
GC_00000534	0.0	1.0	True
GC_00000535	0.0	1.0	True
GC_00000536	0.0	1.0	True
GC_00000537	0.0	1.0	True
GC_00000538	0.0	1.0	True
GC_00000539	0.0	1.0	True
GC_00000540	0.0	1.0	True
GC_00000541	0.0	1.0	True
GC_00000542	0.0	1.0	True
GC_00000543	0.0	1.0	True
GC_00000544	0.0	1.0	True
GC_00000545	0.0	1.0	True
GC_00000546	0.0	1.0	True
GC_00000547	0.0	1.0	True
GC_00000548	0.0	1.0	True
GC_00000549	0.0	1.0	True
GC_00000550	0.0	1.0	True
GC_00000551	0.0	1.0	True
GC_00000552	0.0	1.0	True
GC_00000553	0.0	1.0	True
GC_00000554	0.0	1.0	True
GC_00000555	0.0	1.0	True
GC_00000556	0.0	1.0	True
GC_00000557	0.0	1.0	True
GC_00000558	0.0	1.0	True
GC_00000559	0.0	1.0	True
GC_00000560	0.0	1.0	True
GC_00000561	0.0	1.0	True
GC_00000562	0.0	1.0	True
GC_00000563	0.0	1.0	True
GC_00000564	0.0	1.0	True
GC_00000565	0.0	1.0	True
GC_00000566	0.0	1.0	True
GC_00000567	0.0	1.0	True
GC_00000568	0.0	1.0	True
GC_00000569	0.0	1.0	True
GC_00000570	0.0	1.0	True
GC_00000571	0.0	1.0	True
GC_00000572	0.0	1.0	True
GC_00000573	0.0	1.0	True
GC_00000574	0.0	1.0	True
GC_00000575	0.0	1.0	True
GC_00000576	0.0	1.0	True
GC_00000577	0.0	1.0	True
GC_00000578	0.0	1.0	True
GC_00000579	0.0	1.0	True
GC_00000580	0.0	1.0	True
GC_00000581	0.0	1.0	True
GC_00000582	0.0	1.0	True
GC_00000583	0.0	1.0	True
GC_00000584	0.0	1.0	True
GC_00000585	0.0	1.0	True
GC_00000586	0.0	1.0	True
GC_00000587	0.0	1.0	True
GC_00000588	0.0	1.0	True
GC_00000589	0.0	1.0	True
GC_00000590	0.0	1.0	True
GC_00000591	0.0	1.0	True
GC_00000592	0.0	1.0	True
GC_00000593	0.0	1.0	True
GC_00000594	0.0	1.0	True
GC_00000595	0.0	1.0	True
GC_00000596	0.0	1.0	True
GC_00000597	0.0	1.0	True
GC_00000598	0.0	1.0	True
GC_00000599	0.0	1.0	True
GC_00000600	0.0	1.0	True
GC_00000601	0.0	1.0	True
GC_00000602	0.0	1.0	True
GC_00000603	0.0	1.0	True
GC_00000604	0.0	1.0	True
GC_00000605	0.0	1.0	True
GC_00000606	0.0	1.0	True
GC_00000607	0.0	1.0	True
GC_00000608	0.0	1.0	True
GC_00000609	0.0	1.0	True
GC_00000610	0.0	1.0	True
GC_00000611	0.0	1.0	True
GC_00000612	0.0	1.0	True
GC_00000613	0.0	1.0	True
GC_00000614	0.0	1.0	True
GC_00000615	0.0	1.0	True
GC_00000616	0.0	1.0	True
GC_00000617	0.0	1.0	True
GC_00000618	0.0	1.0	True
GC_00000619	0.0	1.0	True
GC_00000620	0.0	1.0	True
GC_00000621	0.0	1.0	True
GC_00000622	0.0	1.0	True
GC_00000623	0.0	1.0	True
GC_00000624	0.0	1.0	True
GC_00000625	0.0	1.0	True
GC_00000626	0.0	1.0	True
GC_00000627	0.0	1.0	True
GC_00000628	0.0	1.0	True
GC_00000629	0.0	1.0	True
GC_00000630	0.0	1.0	True
GC_00000631	0.0	1.0	True
GC_00000632	0.0	1.0	True
GC_00000633	0.0	1.0	True
GC_00000634	0.0	1.0	True
GC_00000635	0.0	1.0	True
GC_00000636	0.0	1.0	True
GC_00000637	0.0	1.0	True
GC_00000638	0.0	1.0	True
GC_00000639	0.0	1.0	True
GC_00000640	0.0	1.0	True
GC_00000641	0.0	1.0	True
GC_00000642	0.0	1.0	True
GC_00000643	0.0	1.0	True
GC_00000644	0.0	1.0	True
GC_00000645	0.0	1.0	True
GC_00000646	0.0	1.0	True
GC_00000647	0.0	1.0	True
GC_00000648	0.0	1.0	True
GC_00000649	0.0	1.0	True
GC_00000650	0.0	1.0	True
GC_00000651	0.0	1.0	True
GC_00000652	0.0	1.0	True
GC_00000653	0.0	1.0	True
GC_00000654	0.0	1.0	True
GC_00000655	0.0	1.0	True
GC_00000656	0.0	1.0	True
GC_00000657	0.0	1.0	True
GC_00000658	0.0	1.0	True
GC_00000659	0.0	1.0	True
GC_00000660	0.0	1.0	True
GC_00000661	0.0	1.0	True
GC_00000662	0.0	1.0	True
GC_00000663	0.0	1.0	True
GC_00000664	0.0	1.0	True
GC_00000665	0.037	1.037	True
GC_00000666	0.0	1.0	True
GC_00000667	0.0	1.0	True
GC_00000668	0.0	1.0	True
GC_00000669	0.0	1.0	True
GC_00000670	0.0	1.0	True
GC_00000671	0.0	1.0	True
GC_00000672	0.0	1.0	True
GC_00000673	0.0	1.0	True
GC_00000674	0.0	1.0	True
GC_00000675	0.0	1.0	True
GC_00000676	0.0	1.0	True
GC_00000677	0.0	1.0	True
GC_00000678	0.0	1.0	True
GC_00000679	0.0	1.0	True
GC_00000680	0.0	1.0	True
GC_00000681	0.0	1.0	True
GC_00000682	0.0	1.0	True
GC_00000683	0.0	1.0	True
GC_00000684	0.0	1.0	True
GC_00000685	0.0	1.0	True
GC_00000686	0.0	1.0	True
GC_00000687	0.0	1.0	True
GC_00000688	0.0	1.0	True
GC_00000689	0.0	1.0	True
GC_00000690	0.0	1.0	True
GC_00000691	0.0	1.0	True
GC_00000692	0.0	1.0	True
GC_00000693	0.0	1.0	True
GC_00000694	0.0	1.0	True
GC_00000695	0.0	1.0	True
GC_00000696	0.0	1.0	True
GC_00000697	0.0	1.0	True
GC_00000698	0.0	1.0	True
GC_00000699	0.0	1.0	True
GC_00000700	0.0	1.0	True
GC_00000701	0.0	1.0	True
GC_00000702	0.0	1.0	True
GC_00000703	0.0	1.0	True
GC_00000704	0.0	1.0	True
GC_00000705	0.0	1.0	True
GC_00000706	0.0	1.0	True
GC_00000707	0.0	1.0	True
GC_00000708	0.0	1.0	True
GC_00000709	0.0	1.0	True
GC_00000710	0.0	1.0	True
GC_00000711	0.0	1.0	True
GC_00000712	0.0	1.0	True
GC_00000713	0.0	1.0	True
GC_00000714	0.0	1.0	True
GC_00000715	0.0	1.0	True
GC_00000716	0.0	1.0	True
GC_00000717	0.0	1.0	True
GC_00000718	0.0	1.0	True
GC_00000719	0.0	1.0	True
GC_00000720	0.0	1.0	True
GC_00000721	0.0	1.0	True
GC_00000722	0.0	1.0	True
GC_00000723	0.0	1.0	True
GC_00000724	0.0	1.0	True
GC_00000725	0.0	1.0	True
GC_00000726	0.0	1.0	True
GC_00000727	0.0	1.0	True
GC_00000728	0.0	1.0	True
GC_00000729	0.0	1.0	True
GC_00000730	0.0	1.0	True
GC_00000731	0.0	1.0	True
GC_00000732	0.0	1.0	True
GC_00000733	0.0	1.0	True
GC_00000734	0.0	1.0	True
GC_00000735	0.0	1.0	True
GC_00000736	0.0	1.0	True
GC_00000737	0.0	1.0	True
GC_00000738	0.0	1.0	True
GC_00000739	0.0	1.0	True
GC_00000740	0.0	1.0	True
GC_00000741	0.0	1.0	True
GC_00000742	0.0	1.0	True
GC_00000743	0.0	1.0	True
GC_00000744	0.0	1.0	True
GC_00000745	0.0	1.0	True
GC_00000746	0.0	1.0	True
GC_00000747	0.0	1.0	True
GC_00000748	0.0	1.0	True
GC_00000749	0.0	1.0	True
GC_00000750	0.0	1.0	True
GC_00000751	0.0	1.0	True
GC_00000752	0.0	1.0	True
GC_00000753	0.0	1.0	True
GC_00000754	0.0	1.0	True
GC_00000755	0.0	1.0	True
GC_00000756	0.0	1.0	True
GC_00000757	0.0	1.0	True
GC_00000758	0.0	1.0	True
GC_00000759	0.0	1.0	True
GC_00000760	0.0	1.0	True
GC_00000761	0.0	1.0	True
GC_00000762	0.0	1.0	True
GC_00000763	0.0	1.0	True
GC_00000764	0.0	1.0	True
GC_00000765	0.0	1.0	True
GC_00000766	0.0	1.0	True
GC_00000767	0.0	1.0	True
GC_00000768	0.0	1.0	True
GC_00000769	0.0	1.0	True
GC_00000770	0.0	1.0	True
GC_00000771	0.0	1.0	True
GC_00000772	0.0	1.0	True
GC_00000773	0.0	1.0	True
GC_00000774	0.0	1.0	True
GC_00000775	0.0	1.0	True
GC_00000776	0.0	1.0	True
GC_00000777	0.0	1.0	True
GC_00000778	0.0	1.0	True
GC_00000779	0.0	1.0	True
GC_00000780	0.0	1.0	True
GC_00000781	0.0	1.0	True
GC_00000782	0.0	1.0	True
GC_00000783	0.0	1.0	True
GC_00000784	0.0	1.0	True
GC_00000785	0.0	1.0	True
GC_00000786	0.0	1.0	True
GC_00000787	0.0	1.0	True
GC_00000788	0.0	1.0	True
GC_00000789	0.0	1.0	True
GC_00000790	0.0	1.0	True
GC_00000791	0.0	1.0	True
GC_00000792	0.0	1.0	True
GC_00000793	0.0	1.0	True
GC_00000794	0.0	1.0	True
GC_00000795	0.0	1.0	True
GC_00000796	0.0	1.0	True
GC_00000797	0.0	1.0	True
GC_00000798	0.0	1.0	True
GC_00000799	0.0	1.0	True
GC_00000800	0.0	1.0	True
GC_00000801	0.0	1.0	True
GC_00000802	0.0	1.0	True
GC_00000803	0.0	1.0	True
GC_00000804	0.0	1.0	True
GC_00000805	0.0	1.0	True
GC_00000806	0.0	1.0	True
GC_00000807	0.0	1.0	True
GC_00000808	0.0	1.0	True
GC_00000809	0.0	1.0	True
GC_00000810	0.0	1.0	True
GC_00000811	0.0	1.0	True
GC_00000812	0.0	1.0	True
GC_00000813	0.0	1.0	True
GC_00000814	0.0	1.0	True
GC_00000815	0.0	1.0	True
GC_00000816	0.0	1.0	True
GC_00000817	0.0	1.0	True
GC_00000818	0.0	1.0	True
GC_00000819	0.0	1.0	True
GC_00000820	0.0	1.0	True
GC_00000821	0.0	1.0	True
GC_00000822	0.0	1.0	True
GC_00000823	0.0	1.0	True
GC_00000824	0.0	1.0	True
GC_00000825	0.0	1.0	True
GC_00000826	0.0	1.0	True
GC_00000827	0.0	1.0	True
GC_00000828	0.0	1.0	True
