locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGOEKMLN_00111	CDS	582	hpf			Ribosome hibernation promotion factor
OGOEKMLN_00112	CDS	696				hypothetical protein
OGOEKMLN_00113	CDS	1359	comFA	3.6.4.12	COG4098	ComF operon protein 1
OGOEKMLN_00114	CDS	861	degV		COG1307	Protein DegV
OGOEKMLN_00115	CDS	636				hypothetical protein
OGOEKMLN_00116	CDS	1953	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
OGOEKMLN_00117	CDS	582	xpt	2.4.2.22		Xanthine phosphoribosyltransferase
OGOEKMLN_00118	CDS	1032				hypothetical protein
OGOEKMLN_00119	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
OGOEKMLN_00120	CDS	591				hypothetical protein
OGOEKMLN_00121	CDS	741	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
OGOEKMLN_00122	CDS	1491	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
OGOEKMLN_00123	CDS	696				hypothetical protein
OGOEKMLN_00124	CDS	183				hypothetical protein
OGOEKMLN_00125	CDS	756				hypothetical protein
OGOEKMLN_00126	CDS	861	bcrA_2			Bacitracin transport ATP-binding protein BcrA
OGOEKMLN_00127	tRNA	75				tRNA-Ala(tgc)
OGOEKMLN_00128	CDS	1875			COG1132	putative ABC transporter ATP-binding protein
OGOEKMLN_00129	CDS	1719			COG1132	putative ABC transporter ATP-binding protein
OGOEKMLN_00130	CDS	627				hypothetical protein
OGOEKMLN_00131	CDS	243				hypothetical protein
OGOEKMLN_00132	CDS	267				hypothetical protein
OGOEKMLN_00133	CDS	258				hypothetical protein
OGOEKMLN_00134	CDS	1173				hypothetical protein
OGOEKMLN_00135	CDS	1032	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
OGOEKMLN_00136	CDS	555				hypothetical protein
OGOEKMLN_00137	CDS	885	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
OGOEKMLN_00138	CDS	336				hypothetical protein
OGOEKMLN_00139	CDS	753	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
OGOEKMLN_00140	CDS	348	yabA		COG4467	Initiation-control protein YabA
OGOEKMLN_00141	CDS	987				hypothetical protein
OGOEKMLN_00142	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
OGOEKMLN_00143	CDS	663	tmk	2.7.4.9		Thymidylate kinase
OGOEKMLN_00144	CDS	600	recR		COG0353	Recombination protein RecR
OGOEKMLN_00145	CDS	321	ybaB			Nucleoid-associated protein YbaB
OGOEKMLN_00146	CDS	1740	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
OGOEKMLN_00147	CDS	1671				hypothetical protein
OGOEKMLN_00148	CDS	1395				hypothetical protein
OGOEKMLN_00149	CDS	714	atpB			ATP synthase subunit a
OGOEKMLN_00150	CDS	213	atpE_1			ATP synthase subunit c
OGOEKMLN_00151	CDS	510	atpF		COG0711	ATP synthase subunit b
OGOEKMLN_00152	CDS	330	atpD_1			ATP synthase subunit delta
OGOEKMLN_00153	CDS	1527	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
OGOEKMLN_00154	CDS	933	atpG		COG0224	ATP synthase gamma chain
OGOEKMLN_00155	CDS	1455	atpD_2	7.1.2.2	COG0055	ATP synthase subunit beta
OGOEKMLN_00156	CDS	465	atpC		COG0355	ATP synthase epsilon chain
OGOEKMLN_00157	rRNA	96				5S ribosomal RNA
OGOEKMLN_00158	CDS	1332	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
OGOEKMLN_00159	CDS	537				hypothetical protein
OGOEKMLN_00160	CDS	603				hypothetical protein
OGOEKMLN_00161	CDS	1074	pepA	3.4.11.7	COG1363	Glutamyl aminopeptidase
OGOEKMLN_00162	CDS	339				hypothetical protein
OGOEKMLN_00163	CDS	660	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
OGOEKMLN_00164	CDS	789				hypothetical protein
OGOEKMLN_00165	CDS	1206				hypothetical protein
OGOEKMLN_00166	CDS	732	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
OGOEKMLN_00167	CDS	438	hit		COG0537	Protein hit
OGOEKMLN_00168	CDS	345				hypothetical protein
OGOEKMLN_00169	CDS	1095	prsA	5.2.1.8		Foldase protein PrsA
OGOEKMLN_00170	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
OGOEKMLN_00171	CDS	2712				hypothetical protein
OGOEKMLN_00172	CDS	1218	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
OGOEKMLN_00173	CDS	408				hypothetical protein
OGOEKMLN_00174	CDS	2088	pbpF		COG0744	Penicillin-binding protein 1F
OGOEKMLN_00175	CDS	969	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
OGOEKMLN_00176	CDS	1299	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
OGOEKMLN_00177	CDS	1188	dinB	2.7.7.7	COG0389	DNA polymerase IV
OGOEKMLN_00178	CDS	1500	arlS	2.7.13.3		Signal transduction histidine-protein kinase ArlS
OGOEKMLN_00179	CDS	693	arlR		COG0745	Response regulator ArlR
OGOEKMLN_00180	CDS	363	ybaN		COG2832	Inner membrane protein YbaN
OGOEKMLN_00181	CDS	657		2.7.1.113	COG1428	Deoxyguanosine kinase
OGOEKMLN_00182	CDS	1440	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
OGOEKMLN_00183	CDS	129				hypothetical protein
OGOEKMLN_00184	CDS	1686	recN		COG0497	DNA repair protein RecN
OGOEKMLN_00185	CDS	807	tlyA		COG1189	Hemolysin A
OGOEKMLN_00186	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
OGOEKMLN_00187	CDS	222	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
OGOEKMLN_00188	CDS	1356	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
OGOEKMLN_00189	CDS	495	nusB			Transcription antitermination protein NusB
OGOEKMLN_00190	CDS	372				putative protein
OGOEKMLN_00191	CDS	558	efp			Elongation factor P
OGOEKMLN_00192	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
OGOEKMLN_00193	CDS	837				hypothetical protein
OGOEKMLN_00194	CDS	435				hypothetical protein
OGOEKMLN_00195	CDS	324				hypothetical protein
OGOEKMLN_00196	CDS	447				hypothetical protein
OGOEKMLN_00197	CDS	324				hypothetical protein
OGOEKMLN_00198	CDS	1065				hypothetical protein
OGOEKMLN_00199	CDS	1065	comGA		COG2804	ComG operon protein 1
OGOEKMLN_00200	CDS	723			COG0217	putative transcriptional regulatory protein/MSMEI_2866
OGOEKMLN_00201	CDS	1665	murJ		COG2244	Lipid II flippase MurJ
OGOEKMLN_00202	CDS	2418	leuS	6.1.1.4		Leucine--tRNA ligase
OGOEKMLN_00203	CDS	2238				hypothetical protein
OGOEKMLN_00204	CDS	606				hypothetical protein
OGOEKMLN_00205	CDS	606				hypothetical protein
OGOEKMLN_00206	CDS	327				hypothetical protein
OGOEKMLN_00207	CDS	1845	cadA_2	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
OGOEKMLN_00208	CDS	222	cadA_3	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
OGOEKMLN_00209	CDS	369	ziaR			Transcriptional repressor SmtB 
OGOEKMLN_00210	CDS	642				hypothetical protein
OGOEKMLN_00211	CDS	735				hypothetical protein
OGOEKMLN_00212	CDS	156				hypothetical protein
OGOEKMLN_00213	CDS	591	ydhK			putative protein YdhK
OGOEKMLN_00214	CDS	471				hypothetical protein
OGOEKMLN_00215	CDS	2088	copB	7.2.2.8		Copper-exporting P-type ATPase B
OGOEKMLN_00216	CDS	456	copY_1			Transcriptional repressor CopY
OGOEKMLN_00217	tRNA	87				tRNA-Leu(taa)
OGOEKMLN_00218	tRNA	72				tRNA-Gly(gcc)
OGOEKMLN_00219	tRNA	73				tRNA-Thr(tgt)
OGOEKMLN_00220	tRNA	73				tRNA-Lys(ttt)
OGOEKMLN_00221	tRNA	75				tRNA-Arg(tcg)
OGOEKMLN_00222	CDS	540	xerD_1			Tyrosine recombinase XerD
OGOEKMLN_00223	CDS	933	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGOEKMLN_00224	CDS	756				hypothetical protein
OGOEKMLN_00225	CDS	795				hypothetical protein
OGOEKMLN_00226	CDS	1197	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
OGOEKMLN_00227	CDS	423	copY_2			Transcriptional repressor CopY
OGOEKMLN_00228	CDS	2472	copA	7.2.2.8		Copper-exporting P-type ATPase
OGOEKMLN_00229	CDS	1086				hypothetical protein
OGOEKMLN_00230	CDS	573	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
OGOEKMLN_00231	CDS	1224				hypothetical protein
OGOEKMLN_00232	CDS	1197				hypothetical protein
OGOEKMLN_00233	CDS	1905				hypothetical protein
OGOEKMLN_00234	CDS	543	yacP		COG3688	putative protein YacP
OGOEKMLN_00235	CDS	2397	eabC	3.2.1.102		Blood-group-substance endo-1,4-beta-galactosidase
OGOEKMLN_00236	CDS	1284				hypothetical protein
OGOEKMLN_00237	CDS	957				hypothetical protein
OGOEKMLN_00238	CDS	840	sugB		COG0395	Trehalose transport system permease protein SugB
OGOEKMLN_00239	CDS	1320				hypothetical protein
OGOEKMLN_00240	CDS	1896				hypothetical protein
OGOEKMLN_00241	CDS	2229	agaA	3.2.1.22		Alpha-galactosidase AgaA
OGOEKMLN_00242	CDS	1452	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
OGOEKMLN_00243	CDS	1155	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
OGOEKMLN_00244	CDS	921	rhaR_1			HTH-type transcriptional activator RhaR
OGOEKMLN_00245	CDS	1383	xylP			Isoprimeverose transporter
OGOEKMLN_00246	CDS	1476	rhaB	2.7.1.5		Rhamnulokinase
OGOEKMLN_00247	CDS	654	drdA	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
OGOEKMLN_00248	CDS	1785	fucI	5.3.1.25	COG2407	L-fucose isomerase
OGOEKMLN_00249	CDS	432	fucU	5.1.3.29	COG4154	L-fucose mutarotase
OGOEKMLN_00250	CDS	978	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
OGOEKMLN_00251	tRNA	98				tRNA-SeC(tca)
OGOEKMLN_00252	CDS	1428	alsT_1		COG1115	Amino-acid carrier protein AlsT
OGOEKMLN_00253	CDS	129	grdA	1.21.4.2		Glycine/sarcosine/betaine reductase complex component A
OGOEKMLN_00254	CDS	318	grdA1	1.21.4.2		Glycine/sarcosine/betaine reductase complex component A1
OGOEKMLN_00255	CDS	960	trxB_1	1.8.1.9		Thioredoxin reductase
OGOEKMLN_00256	CDS	327	trxA_1		COG0526	Thioredoxin
OGOEKMLN_00257	CDS	1539	grdC	1.21.4.2		Glycine/sarcosine/betaine reductase complex component C subunit beta
OGOEKMLN_00258	CDS	1164	grdD	1.21.4.2		Glycine/sarcosine/betaine reductase complex component C subunit alpha
OGOEKMLN_00259	CDS	1026				hypothetical protein
OGOEKMLN_00260	CDS	237	yeeD		COG0425	Putative sulfur carrier protein YeeD
OGOEKMLN_00261	CDS	915	phnD1		COG3221	putative ABC transporter phosphite binding protein PhnD1
OGOEKMLN_00262	CDS	738			COG1136	putative ABC transporter ATP-binding protein
OGOEKMLN_00263	CDS	1620				hypothetical protein
OGOEKMLN_00264	CDS	285				hypothetical protein
OGOEKMLN_00265	CDS	231	grdB_1	1.21.4.2		Glycine reductase complex component B subunit gamma
OGOEKMLN_00266	CDS	1041	grdB_2	1.21.4.2		Glycine reductase complex component B subunit gamma
OGOEKMLN_00267	CDS	1287	grdE	1.21.4.2		Glycine reductase complex component B subunits alpha and beta
OGOEKMLN_00268	CDS	402				hypothetical protein
OGOEKMLN_00269	CDS	951	selD	2.7.9.3	COG0709	Selenide, water dikinase
OGOEKMLN_00270	CDS	357				hypothetical protein
OGOEKMLN_00271	CDS	249				hypothetical protein
OGOEKMLN_00272	CDS	1893	selB		COG3276	Selenocysteine-specific elongation factor
OGOEKMLN_00273	CDS	1380	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
OGOEKMLN_00274	CDS	1524				hypothetical protein
OGOEKMLN_00275	CDS	726	est_1	3.1.1.1		Carboxylesterase
OGOEKMLN_00276	CDS	1146	sufS_2	2.8.1.7	COG0520	Cysteine desulfurase SufS
OGOEKMLN_00277	CDS	747				hypothetical protein
OGOEKMLN_00278	CDS	1353	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
OGOEKMLN_00279	CDS	384				hypothetical protein
OGOEKMLN_00280	CDS	381	yugI		COG1098	General stress protein 13
OGOEKMLN_00281	CDS	873		1.8.3.7	COG1262	Formylglycine-generating enzyme
OGOEKMLN_00282	CDS	867	gmuE	2.7.1.4	COG1940	Putative fructokinase
OGOEKMLN_00283	CDS	594		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
OGOEKMLN_00284	CDS	1422				hypothetical protein
OGOEKMLN_00285	CDS	954		3.5.1.26		N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase
OGOEKMLN_00286	CDS	2208				hypothetical protein
OGOEKMLN_00287	CDS	2691	mngB	3.2.1.-	COG0383	Mannosylglycerate hydrolase
OGOEKMLN_00288	CDS	1404	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
OGOEKMLN_00289	CDS	1299				hypothetical protein
OGOEKMLN_00290	CDS	1653				hypothetical protein
OGOEKMLN_00291	CDS	936	melC		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
OGOEKMLN_00292	CDS	966	yteP		COG4209	putative multiple-sugar transport system permease YteP
OGOEKMLN_00293	CDS	2235	yesS		COG2207	HTH-type transcriptional regulator YesS
OGOEKMLN_00294	CDS	504				hypothetical protein
OGOEKMLN_00295	CDS	258				hypothetical protein
OGOEKMLN_00296	CDS	501				hypothetical protein
OGOEKMLN_00297	CDS	1296				hypothetical protein
OGOEKMLN_00298	CDS	171				hypothetical protein
OGOEKMLN_00299	CDS	186				hypothetical protein
OGOEKMLN_00300	CDS	288				hypothetical protein
OGOEKMLN_00301	CDS	438	pre			Plasmid recombination enzyme
OGOEKMLN_00302	CDS	657	repB			Replication protein RepB
OGOEKMLN_00303	CDS	492				hypothetical protein
OGOEKMLN_00304	CDS	987	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
OGOEKMLN_00305	CDS	516	ypjQ		COG1267	putative protein YpjQ
OGOEKMLN_00306	CDS	633				hypothetical protein
OGOEKMLN_00307	CDS	768	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
OGOEKMLN_00308	CDS	468				hypothetical protein
OGOEKMLN_00309	CDS	1239				hypothetical protein
OGOEKMLN_00310	CDS	1311	uacT		COG2233	Uric acid transporter UacT
OGOEKMLN_00311	CDS	717				hypothetical protein
OGOEKMLN_00312	CDS	510				hypothetical protein
OGOEKMLN_00313	CDS	486				hypothetical protein
OGOEKMLN_00314	CDS	300				hypothetical protein
OGOEKMLN_00315	CDS	633	cutC		COG3142	Copper homeostasis protein CutC
OGOEKMLN_00316	CDS	585				hypothetical protein
OGOEKMLN_00317	CDS	807		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
OGOEKMLN_00318	CDS	1584	prfC			Peptide chain release factor 3
OGOEKMLN_00319	CDS	465		2.3.1.-		Acetyltransferase
OGOEKMLN_00320	CDS	453		2.3.1.-		Acetyltransferase
OGOEKMLN_00321	CDS	900	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
OGOEKMLN_00322	CDS	813	nadK	2.7.1.23	COG0061	NAD kinase
OGOEKMLN_00323	CDS	630	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
OGOEKMLN_00324	CDS	588	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
OGOEKMLN_00325	CDS	627				hypothetical protein
OGOEKMLN_00326	CDS	1815	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
OGOEKMLN_00327	CDS	1113				hypothetical protein
OGOEKMLN_00328	CDS	645	mecA		COG4862	Adapter protein MecA
OGOEKMLN_00329	CDS	393	spxA_1			Regulatory protein Spx
OGOEKMLN_00330	CDS	1020	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
OGOEKMLN_00331	CDS	165				hypothetical protein
OGOEKMLN_00332	CDS	150				hypothetical protein
OGOEKMLN_00333	CDS	363	rplT		COG0292	50S ribosomal protein L20
OGOEKMLN_00334	CDS	201	rpmI		COG0291	50S ribosomal protein L35
OGOEKMLN_00335	CDS	507	infC			Translation initiation factor IF-3
OGOEKMLN_00336	CDS	2115	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
OGOEKMLN_00337	CDS	270	rpsO		COG0184	30S ribosomal protein S15
OGOEKMLN_00338	CDS	339				hypothetical protein
OGOEKMLN_00339	CDS	1971	fruA		COG1299	PTS system fructose-specific EIIABC component
OGOEKMLN_00340	CDS	945	lacC_1	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
OGOEKMLN_00341	CDS	753	glcR		COG1349	HTH-type transcriptional repressor GlcR
OGOEKMLN_00342	CDS	579				hypothetical protein
OGOEKMLN_00343	CDS	270				hypothetical protein
OGOEKMLN_00344	CDS	258				hypothetical protein
OGOEKMLN_00345	CDS	156				hypothetical protein
OGOEKMLN_00346	CDS	1191	ackA	2.7.2.1	COG0282	Acetate kinase
OGOEKMLN_00347	CDS	1011				hypothetical protein
OGOEKMLN_00348	CDS	285	rpmA			50S ribosomal protein L27
OGOEKMLN_00349	CDS	333				hypothetical protein
OGOEKMLN_00350	CDS	309	rplU		COG0261	50S ribosomal protein L21
OGOEKMLN_00351	CDS	684	minC		COG0850	Septum site-determining protein MinC
OGOEKMLN_00352	CDS	531				hypothetical protein
OGOEKMLN_00353	CDS	960	mreC		COG1792	Cell shape-determining protein MreC
OGOEKMLN_00354	CDS	207	cspLA		COG1278	Cold shock-like protein CspLA
OGOEKMLN_00355	CDS	1341	dsdA_1	4.3.1.18	COG3048	D-serine dehydratase
OGOEKMLN_00356	CDS	819	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
OGOEKMLN_00357	CDS	177				hypothetical protein
OGOEKMLN_00358	CDS	687				hypothetical protein
OGOEKMLN_00359	CDS	477	greA		COG0782	Transcription elongation factor GreA
OGOEKMLN_00360	CDS	627	udk	2.7.1.48	COG0572	Uridine kinase
OGOEKMLN_00361	CDS	1092	mltG	4.2.2.-		Endolytic murein transglycosylase
OGOEKMLN_00362	CDS	291				hypothetical protein
