Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Accessory Fragment,Genome Fragment,Order within Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,KPL3033,KPL3043,KPL3050,KPL3052,KPL3065,KPL3069,KPL3070,KPL3077,KPL3084,KPL3086,KPL3090,KPL3246,KPL3250,KPL3256,KPL3264,KPL3274,KPL3911,KPL1914,KPL1934_CDC4709_98,ATCC_51524,KPL1939_CDC4792_99,KPL1938_CDC4791_99,KPL1937_CDC4199_99,KPL1933_CDC4545_98,KPL1932_CDC4420_98,KPL1931_CDC4294_98,KPL1930_CDC2949_98,KPL1922_CDC39_95
KPL3033_CDS_0416,persistent,Holo-[acyl-carrier-protein] synthase,28,28,1,NA,NA,,,,356,359,358.89,KPL3033_CDS_0416,KPL3043_CDS_0433,KPL3050_CDS_0438,KPL3052_CDS_0428,KPL3065_CDS_0421,KPL3069_CDS_0443,KPL3070_CDS_0461,KPL3077_CDS_1635,KPL3084_CDS_0465,KPL3086_CDS_0419,KPL3090_CDS_0529,KPL3246_CDS_0441,KPL3250_CDS_0415,KPL3256_CDS_1778,KPL3264_CDS_0815,KPL3274_CDS_0431,KPL3911_CDS_0468,KPL1914_CDS_1652,KPL1934_CDC4709_98_CDS_0787,ATCC_51524_CDS_0108,KPL1939_CDC4792_99_CDS_0599,KPL1938_CDC4791_99_CDS_1680,KPL1937_CDC4199_99_CDS_1520,KPL1933_CDC4545_98_CDS_0663,KPL1932_CDC4420_98_CDS_1772,KPL1931_CDC4294_98_CDS_1197,KPL1930_CDC2949_98_CDS_0702,KPL1922_CDC39_95_CDS_1704
KPL3033_CDS_0448,persistent,Urocanate reductase,28,28,1,NA,NA,,,,1787,1802,1798.89,KPL3033_CDS_0448,KPL3043_CDS_0467,KPL3050_CDS_0470,KPL3052_CDS_0462,KPL3065_CDS_0453,KPL3069_CDS_0476,KPL3070_CDS_0495,KPL3077_CDS_1668,KPL3084_CDS_0499,KPL3086_CDS_0451,KPL3090_CDS_0562,KPL3246_CDS_0473,KPL3250_CDS_0449,KPL3256_CDS_0104,KPL3264_CDS_0783,KPL3274_CDS_0463,KPL3911_CDS_0503,KPL1914_CDS_1620,KPL1934_CDC4709_98_CDS_0821,ATCC_51524_CDS_0075,KPL1939_CDC4792_99_CDS_0214,KPL1938_CDC4791_99_CDS_0030,KPL1937_CDC4199_99_CDS_0441,KPL1933_CDC4545_98_CDS_0359,KPL1932_CDC4420_98_CDS_1185,KPL1931_CDC4294_98_CDS_1837,KPL1930_CDC2949_98_CDS_1228,KPL1922_CDC39_95_CDS_0569
KPL3033_CDS_0480,persistent,hypothetical protein,28,28,1,NA,NA,,,,341,344,343.68,KPL3033_CDS_0480,KPL3043_CDS_0500,KPL3050_CDS_0584,KPL3052_CDS_0580,KPL3065_CDS_0486,KPL3069_CDS_0582,KPL3070_CDS_0527,KPL3077_CDS_1790,KPL3084_CDS_0533,KPL3086_CDS_0484,KPL3090_CDS_0597,KPL3246_CDS_0512,KPL3250_CDS_0481,KPL3256_CDS_0136,KPL3264_CDS_0747,KPL3274_CDS_0494,KPL3911_CDS_0536,KPL1914_CDS_1586,KPL1934_CDC4709_98_CDS_0907,ATCC_51524_CDS_0044,KPL1939_CDC4792_99_CDS_0241,KPL1938_CDC4791_99_CDS_0924,KPL1937_CDC4199_99_CDS_0409,KPL1933_CDC4545_98_CDS_0323,KPL1932_CDC4420_98_CDS_1224,KPL1931_CDC4294_98_CDS_1868,KPL1930_CDC2949_98_CDS_1631,KPL1922_CDC39_95_CDS_1207
KPL3033_CDS_0512,persistent,Redox-sensing transcriptional repressor Rex,28,28,1,NA,NA,,,,641,641,641,KPL3033_CDS_0512,KPL3043_CDS_0531,KPL3050_CDS_0614,KPL3052_CDS_0612,KPL3065_CDS_0517,KPL3069_CDS_0617,KPL3070_CDS_0558,KPL3077_CDS_1823,KPL3084_CDS_0564,KPL3086_CDS_0516,KPL3090_CDS_0632,KPL3246_CDS_0543,KPL3250_CDS_0512,KPL3256_CDS_0168,KPL3264_CDS_0715,KPL3274_CDS_0533,KPL3911_CDS_0569,KPL1914_CDS_1555,KPL1934_CDC4709_98_CDS_0938,ATCC_51524_CDS_0013,KPL1939_CDC4792_99_CDS_0893,KPL1938_CDC4791_99_CDS_0956,KPL1937_CDC4199_99_CDS_0284,KPL1933_CDC4545_98_CDS_1400,KPL1932_CDC4420_98_CDS_1256,KPL1931_CDC4294_98_CDS_1900,KPL1930_CDC2949_98_CDS_1599,KPL1922_CDC39_95_CDS_1178
KPL3033_CDS_0544,persistent,putative protein-export membrane protein SecG,28,28,1,NA,NA,,,,230,230,230,KPL3033_CDS_0544,KPL3043_CDS_0561,KPL3050_CDS_0654,KPL3052_CDS_0648,KPL3065_CDS_0547,KPL3069_CDS_0654,KPL3070_CDS_0588,KPL3077_CDS_0021,KPL3084_CDS_0598,KPL3086_CDS_0546,KPL3090_CDS_0668,KPL3246_CDS_0576,KPL3250_CDS_0548,KPL3256_CDS_0203,KPL3264_CDS_0678,KPL3274_CDS_0568,KPL3911_CDS_0606,KPL1914_CDS_1516,KPL1934_CDC4709_98_CDS_0969,ATCC_51524_CDS_1367,KPL1939_CDC4792_99_CDS_0175,KPL1938_CDC4791_99_CDS_0987,KPL1937_CDC4199_99_CDS_1641,KPL1933_CDC4545_98_CDS_1364,KPL1932_CDC4420_98_CDS_1287,KPL1931_CDC4294_98_CDS_1786,KPL1930_CDC2949_98_CDS_1568,KPL1922_CDC39_95_CDS_0747
KPL3033_CDS_0576,persistent,Primosomal protein N',28,28,1,NA,NA,,,,2414,2414,2414,KPL3033_CDS_0576,KPL3043_CDS_0593,KPL3050_CDS_0686,KPL3052_CDS_0681,KPL3065_CDS_0579,KPL3069_CDS_0686,KPL3070_CDS_0620,KPL3077_CDS_0053,KPL3084_CDS_0630,KPL3086_CDS_0578,KPL3090_CDS_0702,KPL3246_CDS_0608,KPL3250_CDS_0580,KPL3256_CDS_0236,KPL3264_CDS_0646,KPL3274_CDS_0600,KPL3911_CDS_0638,KPL1914_CDS_1484,KPL1934_CDC4709_98_CDS_1001,ATCC_51524_CDS_1335,KPL1939_CDC4792_99_CDS_0143,KPL1938_CDC4791_99_CDS_1019,KPL1937_CDC4199_99_CDS_1609,KPL1933_CDC4545_98_CDS_1332,KPL1932_CDC4420_98_CDS_1319,KPL1931_CDC4294_98_CDS_1754,KPL1930_CDC2949_98_CDS_1536,KPL1922_CDC39_95_CDS_0715
KPL3033_CDS_0608,shell,Fructose-6-phosphate aldolase 1,15,16,1.07,NA,NA,,,,113,665,617.75,KPL3033_CDS_0608,KPL3043_CDS_0625,KPL3050_CDS_0718,KPL3052_CDS_0714,KPL3065_CDS_0611,KPL3069_CDS_0718,,,,KPL3086_CDS_0611,KPL3090_CDS_0734,KPL3246_CDS_0640,KPL3250_CDS_0612,,"KPL3264_CDS_0614 ""KPL3264_CDS_0613""",,KPL3911_CDS_0673,KPL1914_CDS_1452,,ATCC_51524_CDS_1303,,,,,,,,KPL1922_CDC39_95_CDS_0683
KPL3033_CDS_0640,persistent,Phosphoglucomutase,28,28,1,NA,NA,,,,1724,1724,1724,KPL3033_CDS_0640,KPL3043_CDS_0652,KPL3050_CDS_0744,KPL3052_CDS_0739,KPL3065_CDS_0638,KPL3069_CDS_0744,KPL3070_CDS_0676,KPL3077_CDS_0111,KPL3084_CDS_0686,KPL3086_CDS_0638,KPL3090_CDS_0760,KPL3246_CDS_0671,KPL3250_CDS_0639,KPL3256_CDS_0282,KPL3264_CDS_0588,KPL3274_CDS_0652,KPL3911_CDS_0705,KPL1914_CDS_1420,KPL1934_CDC4709_98_CDS_1052,ATCC_51524_CDS_1277,KPL1939_CDC4792_99_CDS_1318,KPL1938_CDC4791_99_CDS_0159,KPL1937_CDC4199_99_CDS_1559,KPL1933_CDC4545_98_CDS_1287,KPL1932_CDC4420_98_CDS_1391,KPL1931_CDC4294_98_CDS_1457,KPL1930_CDC2949_98_CDS_1485,KPL1922_CDC39_95_CDS_1441
KPL3033_CDS_0672,persistent,hypothetical protein,28,28,1,NA,NA,,,,266,266,266,KPL3033_CDS_0672,KPL3043_CDS_0684,KPL3050_CDS_0776,KPL3052_CDS_0770,KPL3065_CDS_0670,KPL3069_CDS_0777,KPL3070_CDS_0708,KPL3077_CDS_0138,KPL3084_CDS_0718,KPL3086_CDS_0670,KPL3090_CDS_0792,KPL3246_CDS_0704,KPL3250_CDS_0674,KPL3256_CDS_0314,KPL3264_CDS_0556,KPL3274_CDS_0680,KPL3911_CDS_0737,KPL1914_CDS_1394,KPL1934_CDC4709_98_CDS_1084,ATCC_51524_CDS_1246,KPL1939_CDC4792_99_CDS_1283,KPL1938_CDC4791_99_CDS_0190,KPL1937_CDC4199_99_CDS_0007,KPL1933_CDC4545_98_CDS_1254,KPL1932_CDC4420_98_CDS_1424,KPL1931_CDC4294_98_CDS_0638,KPL1930_CDC2949_98_CDS_1453,KPL1922_CDC39_95_CDS_1410
KPL3033_CDS_0736,persistent,tRNA pseudouridine synthase B,28,28,1,NA,NA,,,,911,929,911.64,KPL3033_CDS_0736,KPL3043_CDS_0760,KPL3050_CDS_0855,KPL3052_CDS_0853,KPL3065_CDS_0748,KPL3069_CDS_0848,KPL3070_CDS_0783,KPL3077_CDS_0210,KPL3084_CDS_0803,KPL3086_CDS_0749,KPL3090_CDS_0863,KPL3246_CDS_0776,KPL3250_CDS_0749,KPL3256_CDS_0384,KPL3264_CDS_0471,KPL3274_CDS_0747,KPL3911_CDS_0825,KPL1914_CDS_1315,KPL1934_CDC4709_98_CDS_1159,ATCC_51524_CDS_1172,KPL1939_CDC4792_99_CDS_1212,KPL1938_CDC4791_99_CDS_0267,KPL1937_CDC4199_99_CDS_0095,KPL1933_CDC4545_98_CDS_1181,KPL1932_CDC4420_98_CDS_0291,KPL1931_CDC4294_98_CDS_0861,KPL1930_CDC2949_98_CDS_1387,KPL1922_CDC39_95_CDS_1348
KPL3033_CDS_0768,persistent,tRNA (guanine-N(1)-)-methyltransferase,28,28,1,NA,NA,,,,734,734,734,KPL3033_CDS_0768,KPL3043_CDS_0793,KPL3050_CDS_0896,KPL3052_CDS_0893,KPL3065_CDS_0781,KPL3069_CDS_0889,KPL3070_CDS_0822,KPL3077_CDS_0249,KPL3084_CDS_0841,KPL3086_CDS_0782,KPL3090_CDS_0904,KPL3246_CDS_0814,KPL3250_CDS_0782,KPL3256_CDS_0416,KPL3264_CDS_0437,KPL3274_CDS_0781,KPL3911_CDS_0863,KPL1914_CDS_1283,KPL1934_CDC4709_98_CDS_1200,ATCC_51524_CDS_1140,KPL1939_CDC4792_99_CDS_1179,KPL1938_CDC4791_99_CDS_0300,KPL1937_CDC4199_99_CDS_0132,KPL1933_CDC4545_98_CDS_0639,KPL1932_CDC4420_98_CDS_0250,KPL1931_CDC4294_98_CDS_0199,KPL1930_CDC2949_98_CDS_1355,KPL1922_CDC39_95_CDS_1316
KPL3033_CDS_0800,persistent,Regulatory protein RecX,28,28,1,NA,NA,,,,1064,1070,1069.14,KPL3033_CDS_0800,KPL3043_CDS_0826,KPL3050_CDS_0928,KPL3052_CDS_0925,KPL3065_CDS_0813,KPL3069_CDS_0920,KPL3070_CDS_0854,KPL3077_CDS_0287,KPL3084_CDS_0873,KPL3086_CDS_0814,KPL3090_CDS_0937,KPL3246_CDS_0850,KPL3250_CDS_0818,KPL3256_CDS_0454,KPL3264_CDS_0405,KPL3274_CDS_0813,KPL3911_CDS_0896,KPL1914_CDS_1251,KPL1934_CDC4709_98_CDS_1233,ATCC_51524_CDS_1104,KPL1939_CDC4792_99_CDS_1143,KPL1938_CDC4791_99_CDS_0331,KPL1937_CDC4199_99_CDS_0321,KPL1933_CDC4545_98_CDS_0606,KPL1932_CDC4420_98_CDS_0134,KPL1931_CDC4294_98_CDS_0555,KPL1930_CDC2949_98_CDS_1320,KPL1922_CDC39_95_CDS_1280
KPL3033_CDS_0832,persistent,Cytidine deaminase,28,28,1,NA,NA,,,,407,407,407,KPL3033_CDS_0832,KPL3043_CDS_0859,KPL3050_CDS_0960,KPL3052_CDS_0956,KPL3065_CDS_0846,KPL3069_CDS_0954,KPL3070_CDS_0886,KPL3077_CDS_0322,KPL3084_CDS_0904,KPL3086_CDS_0849,KPL3090_CDS_0972,KPL3246_CDS_0881,KPL3250_CDS_0861,KPL3256_CDS_0485,KPL3264_CDS_0372,KPL3274_CDS_0844,KPL3911_CDS_0929,KPL1914_CDS_1220,KPL1934_CDC4709_98_CDS_1265,ATCC_51524_CDS_1072,KPL1939_CDC4792_99_CDS_1100,KPL1938_CDC4791_99_CDS_0362,KPL1937_CDC4199_99_CDS_1179,KPL1933_CDC4545_98_CDS_0562,KPL1932_CDC4420_98_CDS_0103,KPL1931_CDC4294_98_CDS_0587,KPL1930_CDC2949_98_CDS_1288,KPL1922_CDC39_95_CDS_1248
KPL3033_CDS_0896,persistent,hypothetical protein,28,28,1,NA,NA,,,,440,440,440,KPL3033_CDS_0896,KPL3043_CDS_0919,KPL3050_CDS_1028,KPL3052_CDS_1023,KPL3065_CDS_0905,KPL3069_CDS_1012,KPL3070_CDS_0945,KPL3077_CDS_0405,KPL3084_CDS_0963,KPL3086_CDS_0917,KPL3090_CDS_1035,KPL3246_CDS_0940,KPL3250_CDS_0920,KPL3256_CDS_0534,KPL3264_CDS_0311,KPL3274_CDS_0897,KPL3911_CDS_0989,KPL1914_CDS_1135,KPL1934_CDC4709_98_CDS_1326,ATCC_51524_CDS_1003,KPL1939_CDC4792_99_CDS_1043,KPL1938_CDC4791_99_CDS_0423,KPL1937_CDC4199_99_CDS_1230,KPL1933_CDC4545_98_CDS_0502,KPL1932_CDC4420_98_CDS_0041,KPL1931_CDC4294_98_CDS_0024,KPL1930_CDC2949_98_CDS_0933,KPL1922_CDC39_95_CDS_0198
KPL3033_CDS_0928,persistent,Putative teichuronic acid biosynthesis glycosyltransferase TuaG,27,27,1,NA,NA,,,,413,743,730.78,KPL3033_CDS_0928,KPL3043_CDS_0950,KPL3050_CDS_1061,KPL3052_CDS_1054,KPL3065_CDS_0936,KPL3069_CDS_1042,KPL3070_CDS_0977,KPL3077_CDS_0436,KPL3084_CDS_0995,KPL3086_CDS_0948,KPL3090_CDS_1068,KPL3246_CDS_0971,KPL3250_CDS_0953,KPL3256_CDS_0565,KPL3264_CDS_0280,KPL3274_CDS_0928,KPL3911_CDS_1021,KPL1914_CDS_1104,KPL1934_CDC4709_98_CDS_1358,ATCC_51524_CDS_0972,KPL1939_CDC4792_99_CDS_1012,KPL1938_CDC4791_99_CDS_0124,,KPL1933_CDC4545_98_CDS_0471,KPL1932_CDC4420_98_CDS_0749,KPL1931_CDC4294_98_CDS_1433,KPL1930_CDC2949_98_CDS_0530,KPL1922_CDC39_95_CDS_1459
KPL3033_CDS_0960,persistent,DNA polymerase IV,28,28,1,NA,NA,,,,1130,1187,1182.93,KPL3033_CDS_0960,KPL3043_CDS_0980,KPL3050_CDS_1088,KPL3052_CDS_1084,KPL3065_CDS_0966,KPL3069_CDS_1069,KPL3070_CDS_1005,KPL3077_CDS_0464,KPL3084_CDS_1023,KPL3086_CDS_0979,KPL3090_CDS_1099,KPL3246_CDS_0999,KPL3250_CDS_0983,KPL3256_CDS_0592,KPL3264_CDS_0252,KPL3274_CDS_0958,KPL3911_CDS_1048,KPL1914_CDS_1073,KPL1934_CDC4709_98_CDS_1388,ATCC_51524_CDS_0945,KPL1939_CDC4792_99_CDS_0982,KPL1938_CDC4791_99_CDS_0094,KPL1937_CDC4199_99_CDS_0150,KPL1933_CDC4545_98_CDS_0441,KPL1932_CDC4420_98_CDS_0779,KPL1931_CDC4294_98_CDS_0491,KPL1930_CDC2949_98_CDS_0165,KPL1922_CDC39_95_CDS_0169
KPL3033_CDS_0992,shell,Zinc-transporting ATPase,14,15,1.07,NA,NA,,,,266,1931,1686.4,KPL3033_CDS_0992,KPL3043_CDS_1012,KPL3050_CDS_1124,KPL3052_CDS_1122,KPL3065_CDS_0998,,,"KPL3077_CDS_0496 ""KPL3077_CDS_0497""",,KPL3086_CDS_1011,KPL3090_CDS_1134,KPL3246_CDS_1034,,,,,,KPL1914_CDS_1039,,,KPL1939_CDC4792_99_CDS_0950,,KPL1937_CDC4199_99_CDS_0184,,KPL1932_CDC4420_98_CDS_0813,KPL1931_CDC4294_98_CDS_0522,,
KPL3033_CDS_1024,shell,hypothetical protein,15,15,1,NA,NA,,,,173,173,173,KPL3033_CDS_1024,KPL3043_CDS_1042,,,KPL3065_CDS_1023,KPL3069_CDS_1132,,KPL3077_CDS_0528,KPL3084_CDS_1082,KPL3086_CDS_1036,,,KPL3250_CDS_1041,,KPL3264_CDS_0181,KPL3274_CDS_1014,,KPL1914_CDS_1007,,,KPL1939_CDC4792_99_CDS_0921,,KPL1937_CDC4199_99_CDS_1702,KPL1933_CDC4545_98_CDS_0393,,,KPL1930_CDC2949_98_CDS_0635,
KPL3033_CDS_1088,cloud,Bacitracin transport ATP-binding protein BcrA,5,5,1,NA,NA,,,,731,731,731,KPL3033_CDS_1088,,,,,,,,,,,,,,,,,KPL1914_CDS_0268,,,,KPL1938_CDC4791_99_CDS_1393,,,KPL1932_CDC4420_98_CDS_1568,,,KPL1922_CDC39_95_CDS_0029
